,index,english,translated_from_finnish,translated_from_dutch
15,1304,I'll do my best not to disturb your studying.,د زده کړې څخه ډډه مه کوئ.,I'm going to try not to bother you learning. | I'm going to do my best not to bother you studying.
16,1308,I miss you.,"我爱你,我爱你,我爱你,我对你很遗憾,我对你很遗憾,我对你很遗憾,我对你很遗憾。",I miss you.
17,1309,I'll call them tomorrow when I come back.,"Soitan heille huomenna, kun tulen takaisin.",I'll call them tomorrow when I get back. | I'll call them tomorrow when I get back.
18,1311,You should sleep.,Sinun by měl nukkua. | Sinun na parasta nukkua. | Teidän by měl nukkua.,You should sleep. | You should sleep better.
19,1312,I'm going to go.,Já olen lähdössä. | Já aion jít. | Já menen. | Mä meen.,I'm going.
20,1313,I told them to send me another ticket.,"Řekl jsem jim, že by mi poslali druhou značku. | Já jsem jim řekl, aby mi poslali druhou značku.",I told them to send me a new ticket. | I told them to send me another ticket.
21,1316,I once wanted to be an astrophysicist.,Někdy jsem chtěl být astrofyysikko.,I used to want to be an astrophysicist.
22,1317,I never liked biology.,En koskaan pitänyt biologiasta.,I never loved biology.
23,1318,The last person I told my idea to thought I was nuts.,"Последний человек, которому я рассказал свою идею, считал, что olen päästäni sekaisin.",The previous person I talked to thought I was crazy.
24,1320,It is unfortunately true.,"Pitää paikkansa, ikävä kyllä. | Se on valitettavasti totta.","Unfortunately, it's true."
25,1322,Most people think I'm crazy.,"Většina lidí mě považuje za blázna. Většina lidí si myslí, že jsem blázen. Většina lidí mě považuje za blázna. Většina lidí si myslí, že jsem blázen.",Most people think I'm crazy.
26,1325,He's kicking me!,Hän potkii minua!,He's kicking me!
27,1326,Are you sure?,Oletko varma? | Oletko ihan varma?,Are you sure? | Are you sure? | Are you sure? | Are you sure?
28,1328,"Oh, there's a butterfly!","ඔයි, මෙහේ පර්හෝනන් වල!","Oh, there's a butterfly!"
29,1329,Hurry up.,വേഗം പിടിക്ക്.,Go ahead! | Go ahead. | Go ahead. | Go ahead! | Go ahead!
30,1330,It doesn't surprise me.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,It doesn't surprise me.
31,1333,It depends on the context.,| Se riippuu kontekstista. | Se riippuu kontekstista.,It depends on the context.
32,1335,That's the stupidest thing I've ever said.,මම කවදාවත් නොකිව්ව මෝඩ ප් රශ්නේ ගැන බලන්න.,That's the stupidest thing I've ever said.
33,1337,"When I grow up, I want to be a king.","Kun kasvan isoksi, haluan olla kuningas. | Isona haluan olla kuningas.","When I grow up, I want to be a king."
34,1340,So what?,क्या है? क्या है? क्या है? क्या है?,"So? | And? | Well, what?"
35,1345,I've always wondered what it'd be like to have siblings.,Olen aina miettinyt millaista olisi jos būtų sisaruksia.,I've always wondered what it would be like to have brothers and sisters.
36,1347,It would take forever for me to explain everything.,Kaiken selittämiseen menisi ikuisuus.,I need an eternity to explain everything. | I would have an eternity to explain everything.
37,1348,That's because you're a girl.,"To je proto, že jsi holka. | To je proto, že jsi holka.",That's because you're a girl.
38,1363,I thought you liked to learn new things.,"Myslel jsem, že se budeš učit o nových věcech.",I thought you liked to learn new things.
39,1364,Most people write about their daily life.,| Suurin osa ihmisistä kirjutab päivittäisestä elämästään.,Most people write about their day-to-day lives.
40,1366,"In order to do that, you have to take risks.",Musíš riskovat a dělat si to sám.,"And to do that, you have to take risks."
41,1368,Why do you ask?,Why askt? | Why sinä kysyt?,Why do you ask that? | Why do you ask that? | Why do you ask that?
42,1373,How long did you stay?,Jak dlouho byl tam? | Jak dlouho byl tam? | Jak dlouho byl tam? | Jak dlouho byl tam? | Jak dlouho viivyit siellä?,How long have you been here?
43,1379,That is intriguing.,Mielenkiintoista. | Sepä vasta interestingista. | Sepä vasta kiintoisaa.,That makes you curious.
44,1386,I didn't like it.,En pitänyt siitä. | En tykännyt siitä.,I didn't like it.
45,1395,I have to go to bed.,Minun musí jít nukkumaan. | Minun musí jít  Bedouyn.,I have to go to bed. | I have to go to bed.
46,1402,That wasn't my intention.,| Se ei ollut tarkoitukseni. | Se ei ollut tarkoitukseni.,That wasn't my intention.
47,1403,Thanks for your explanation.,താങ്ക്സ് സെൽനിസ്റ്റൻസ്സി.,Thank you for explaining.
48,1408,I don't know what you mean.,En tiedä mitä tarkoitat.,I don't know what you're talking about.
49,1417,I need to ask you a silly question.,Minun täytyy kysyä sinulta tyhmä kysymys.,I have to ask you a stupid question.
50,1421,No one will know.,| Kukaan ei saa tietää.,Nobody's going to find out.
51,1423,It seems interesting to me.,Se vaikuttaa minusta kiintoisalta.,I think that's interesting.
52,1425,I like candlelight.,Pidän  Candlelight valosta.,I love candlelight.
53,1434,I love you.,Já tě miluju. | Rakastan tě. | Rakastan tě! | Já tě miluju. | Mä milujen sua.,I love you. | I love you. | I love you! | I love you! | I love you. | I love you.
54,1436,I am curious.,Olen utelias.,I'm curious.
55,1437,Congratulations!,සුභපැතුම්! සුභපැතුම්!,Congratulations. | Well done! | Congratulations! | Chapeau! | Bravo! | Respect! | Goodbye!
56,1438,I don't want to wait that long.,En halua వేచి చాలా పొడవుగా.,I don't want to wait that long.
57,1439,Why don't you come visit us?,Proč et tulisi käymään?,Why don't you come and visit us?
58,1445,I hate chemistry.,வேதியியல்.,I hate chemistry.
59,1451,I have nothing better to do.,Ei ole parempaakaan tekemistä. | Minulla ei ole parempaakaan tekemistä.,I have nothing better to do.
60,1452,I can't explain it either.,Jákään en osaa selittää sitä.,I can't explain either. | I can't explain either.
61,1453,Everyone has strengths and weaknesses.,Kaikilla on heikkouksia ja vahvuuksia. | Kaikilla on omat vahvuudet ja heikkoudet.,Everybody has their strengths and weaknesses.
62,1459,I don't know if I still have it.,"Může být, že mám na to stále.",I don't know if I have it yet.
63,1461,Don't underestimate my power.,Nepřesvědčujte mě o tom. | Přesvědčujte voimaani.,Don't underestimate my power. | Don't underestimate my power
64,1462,My mom doesn't speak English very well.,Äitini ei puhu englantia kovin hyvin.,My mother doesn't speak English very well.
65,1468,Everyone wants to meet you. You're famous!,هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ. | هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ! | هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ! | هرڅوک غواړئ چې ټوټه وخورئ. تاسو غواړئ غواړئ! | هرڅوک غواړئ چې ټوټه وخورئ.,"Everybody wants to meet you, you're famous! | Everybody wants to meet you, you're famous! | Everybody wants to meet you, you're famous!"
66,1481,"Tomorrow, he will land on the moon.",Huomenna hän laskeutuu kuuhun.,Tomorrow he'll land on the moon. | Tomorrow he'll land on the moon.
67,1482,I don't speak Japanese.,En puhu japania.,I don't speak Japanese.
68,1484,Nobody understands me.,Kukaan ei అర్థం నాకు.,Nobody understands me.
69,1485,I learned to live without her.,Opin elämään ilman häntä.,I've learned to live without her. | I've learned to live without her.
70,1487,I have too many things on my mind these days.,Minulla on liian monta asiaa mielessäni nykyään.,I have too many things in my head right now.
71,1488,I just wanted to check my email.,Halusin vain lukea sähköpostini.,I just wanted to check my email.
72,1496,It would take me too much time to explain to you why it's not going to work.,"Neměl bych moc času, abych ti litoval, proč to nebude fungovat.",It would take me too long to explain to you why that's not going to work.
73,1501,It can't be!,Ei voi olla! | Mahdotonta!,That can't be true!
74,1504,Would you like something to drink?,"Chceš něco k jídlu? | Maistuisiko juotava? | Jak by bylo, chceš něco k jídlu? | Chceš něco k jídlu?",Do you want to drink something? | Do you want to drink something? | Do you want to drink something?
75,1521,Please don't cry.,අනේ එපා.,Please don't cry.
76,1530,Allen is a poet.,Allen na runoilija.,Everybody is a poet.
77,1535,"If you see a mistake, then please correct it.","Jei matot virheen, taip korjaathan sen. | Jei huomaat virheitä, taip korjaathan ne.","If you see an error, please fix it. | If you see an error, please fix it."
78,1540,Why don't we go home?,Co když menisimme domů?,Why don't we go home?
79,1544,One million people lost their lives in the war.,Miljoona ihmistä menetti henkensä sodassa.,A million people died in the war.
80,1561,Did you miss me?,Kaipasitko mane? | Ar man jums man nemaloni?,Missed me? | Missed me?
81,1564,Thank you very much!,Paljon kiitoksia. | Thank you very much! | Thank you very much! | Suurkiitokset!,Thank you very much! | Thank you very much! | Thank you very much! | Thank you very much!
82,1567,It's a surprise.,yllätys న చూడండి.,It's a surprise.
83,1568,That's a good idea!,Se on hyvä ajatus! | Se on hyvä idea!,That's a good idea!
84,1578,They say love is blind.,"Říká se, že rakkaus na sokea.",It's said that love is blind.
85,1590,Do you speak Italian?,د روميانو په نُوم خط ١٠: ١٩,Do you speak Italian? Do you speak Italian? Do you speak Italian?
86,1594,May I ask a question?,Saanko kysyä kysymyksen? | Saanko esittää kysymyksen? | Saanko kysyä?,Can I ask a question?
87,1602,You'll forget about me someday.,සිනා kyllä unohdat minut jonain päivänä.,One day you'll forget me.
88,1603,That is rather unexpected.,Se on melko odottamatonta.,That's pretty unexpected.
89,1606,I couldn't have done it without you. Thank you.,ස්තුතියි.,"Without you, I couldn't have done it. Thank you."
90,1615,Do whatever he tells you.,Tee mitä ikinä అతను käskeekin.,Do whatever he tells you to do. | Do whatever he tells you to do.
91,1619,May I talk to Ms. Brown?,Saisinko Brownin puhelimeen?,Can I talk to Mrs. Brown?
92,1622,What do you want?,මොනාද ඔයාට ඕනේ? මොනාද ඔයාට ඕනේ?,What do you want? What do you want? What do you want? What do you want?
93,1630,I have a dream.,Mám tu unelma.,I have a dream.
94,1644,You look stupid.,Vypadáš tyhmältä. | Vypadáš typerältä.,You look stupid.
95,1646,My name is Jack.,Nimeni na Jacku. | Minun nimeni na Jacku. | Minun nimeni na Jaakko. | Nimeni na Jaakko.,My name is Jack. | My name is Jack.
96,1647,I like it very much.,"例如:我非常喜欢它,非常喜欢它,非常喜欢它。",I love that.
97,1649,How do you say that in Italian?,Kaip tuo sanotaan italiaksi? | Kaip se sanotaan italiaksi?,How do you say that in Italian? | How do you say that in Italian? | How do they say that in Italian?
98,1651,Is it far from here?,ഇവിടുന്ന് പോകണോ?,Is it far from here? Is it far from here?
99,1652,These things aren't mine!,Tyhle věci nejsou moje! | Tyhle věci nejsou moje!,These things aren't my stuff!
100,1654,Would you like to dance with me?,നൃത്തം ചെയ്യാമോ?,Do you want to dance with me? Do you want to dance with me?
101,1659,It's not my fault!,Se ei ole minun syytäni! | Ei se minun syytäni ole!,It's not my fault!
102,1663,Where are the showers?,Kur yra dušo kabinos? | Kur yra dušo kabinos?,Where are the showers?
103,1666,I have lost my wallet.,Jsem kadottanut lompakkoni. | Olen hävittänyt lompakkoni. | Olen hukannut lompakon.,I lost my wallet. | I lost my wallet.
104,1679,Thanks to you I've lost my appetite.,"Menetin ruokahaluni, kiitos teidän.",It's your fault I've lost my appetite. | It's your fault I've lost my appetite. | It's your fault I've lost my appetite.
105,1689,It is very hot today.,今日は本当に暑いです. | 今日は本当に暑いです.,It's very warm today.
106,1698,Look at me when I talk to you!,మీరు మాట్లాడేkenనాకుచూడండి,Watch me when I talk to you! | Watch me when I talk to you
107,1705,I'm tired.,මට මහන්සියි! මට මහන්සියි! මට මහන්සියි! මට මහන්සියි!,I'm tired.
108,1709,When do we arrive?,Milloin me olemme perilla? | Milloin me saavumme perille?,When are we going to be there?
109,1710,"The check, please.","Lasku, kiitos. | Saisinko laskun.","The bill, please. | The bill, please."
110,1712,I have a headache.,பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்: பாலின விகிதம்,I've got headaches. | I've got cough.
111,1716,How are you? Did you have a good trip?,د کوه رونگ سمومیم په اړه,How are you? Have you had a good trip? | How are you? Have you had a good trip?
112,1717,I don't feel well.,Mám ei ole hyvä olo. | Minulla on huono olo. | En voi ihan hyvin.,I don't feel good. | I don't feel good.
113,1718,Call the police!,Soittakaa policelle! | Soita police! | Soittakaa police! | Kutsu police! | Kutsukaa police!,Call the police! | Call the police!
114,1719,It's too expensive!,Se on liian kallis! | Se maksaa liikaa!,That's too expensive!
115,1723,Merry Christmas!,Laba joulua! | Laba jouluu!,Merry Christmas! | Merry Christmas.
116,1744,"The past can only be known, not changed. The future can only be changed, not known.","Menneen voi vain tietää, ei muuttaa. Tulevan voi vain muuttaa, ei tietää.","The past can only be known, not changed. The future can only be changed, not known. | The past can be known, not changed. The future can be changed, not known."
117,1754,I'm starving!,Mulla on ihan hirveä nälkä! | Mä kuolen nälkään! | Minä kuolen nälkään! | Mullon nälkä! | Mulla on nälkä!,I'm going to starve!
118,1765,I'm undressing.,Olen riisuutumassa. | Olen riisuuntumassa.,I got dressed.
119,1771,The wind calmed down.,Tuuli laantui | Tuuli tyyntyi.,The wind was down.
120,1776,"Who searches, finds.",Etsivä löytää.,"Whoever looks, will find. | Whoever looks, will find. | Whoever looks, will find. | Whoever looks, will find."
121,1777,Rome wasn't built in a day.,Ei Roomaaakaan päivässä rakennettu. | Ei Roomaaakaan rakennettu yhdessä päivässä.,Rome wasn't built in one day.
122,1783,That was the best day of my life.,Se oli elämäni paras päivä.,That was the most beautiful day of my life.
123,1784,I don't understand German.,En ymmärrä saksaa.,I didn't know German.
124,1785,I made my decision.,Tein päätökseni.,I made my decision. | I made my decision.
125,1786,I give you my word.,| Minä lupaan.,I give you my word. | I give you my word. | I promise. | I promise you.
126,1813,It's cold.,Na zimno. | Se na zimno.,It's cold.
127,1814,I'm thirsty.,Máma na jano. | Mua janottaa. | Mullon jano. | Mulla na jano. | Minua janottaa.,I'm hungry. | I want to drink.
128,1829,Life is beautiful.,Life on beautifulta. | Life on wonderfula.,Life is beautiful. | Life is beautiful!
129,1862,It is raining.,Sataa. | Sataa Wasser.,It's raining.
130,1876,I went to the zoo yesterday.,Kävin eilen eläintarhassa.,I went to the zoo yesterday. | I went to the zoo yesterday.
131,2022,I dreamt about you.,Näin unta sinusta. | Näin sinusta unta.,I dreamt of you.
132,2024,I won't lose!,Já en muuten häviä!,I won't lose!
133,2040,I'm almost done.,Už jsem skoro hotová.,I'm almost done.
134,2061,It is never too late to learn.,Ei ole koskaan liian myöhäistä oppia.,It's never too late to learn.
135,2066,What are you talking about?,What are you talking about? | What is it?,What are you talking about? What are you talking about? What are you talking about? What are you talking about? What do you mean?
136,2077,"Thank you. ""You're welcome.""","""Kiitos."" ""Olkaa hyvä."" | ""Kiitos."" ""Ei kestä."" | ""Kiitos."" ""Eipä kestä kiittää."" | ""Kiitos."" ""Ole hyvä."" | ""Kiitti."" ""Ei mitään."" | Thank you. ""Eipä tämä mitään."" | Kiitoksia. ""Kaikin mokomin.""","Thank you. ""Good job."" | Thank you. ""No thank you."" | Thank you. ""Good job."""
137,2079,Winter is my favorite season.,Winter on lempivuodenaikani. | Talvi on Lieblingsvuodenaikani.,Winter is my favorite season. | Winter is my favorite season.
138,2096,He disappeared without a trace.,| Hän katosi kuin tuhka tuuleen.,He left with the northern zone. | He disappeared without leaving a trace. | He disappeared without a trace. | He disappeared without any trace.
139,2111,She was wearing a black hat.,Hänellä oli päässään musta hattu.,She was wearing a black hat.
140,2136,Where is the bathroom?,Missä na WC?,Where's the toilet? | Where's the toilet? | Where's the bathroom?
141,2168,Where are you?,Kde jsi? | Kde jsi ty? | Kde jsi?,Where are you? | Where are you?
142,2175,No way!,"Ne, ne! | Ehdottomasti ei! | Ehdoton ei! | Ei missään nimessä! | Ei ikimaailmassa! | Vain kuolleen ruumiini yli! | Just joo. | Ei ikimaailmassa. | Vissiin. | No höpö höpö. | Ei voi olla! | Mahdotonta!",It's not true! | It can't be! | No problem!
143,2216,Don't forget about us!,අපිව අතහරින්න එපා!,Don't forget us!
144,2249,I need your advice.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,I need your advice. I need your advice. I need your advice.
145,2302,Whose is this?,Kenen tämä na?,Whose is this?
146,2310,Do you like rap?,Ar tu nerašysi rapista? | Ar tu nerašysi räpista?,Do you like rap?
147,2319,I don't know him.,En tunne häntä. | Minä en tunne häntä.,I don't know him.
148,2322,It's not important.,Se ei ole tärkeää. | Se ei ole tärkeää.,It doesn't matter. | It doesn't matter.
149,2323,I don't care.,நேபாள மொழி: En välitä. | Ideal sama. | Hällä väliä.,I don't care. I don't care. I don't care. I don't care. I don't care. I don't care. I don't care. I'm going to be a mess. I don't care. I don't care. I don't care.
150,2329,Fifty-two per cent of British women prefer chocolate to sex.,"எழுத்தறிவு சதவீதம் பேர் ஆண்கள், பெண்களின் கல்வியறிவு சதவீதம் பெண்களின் கல்வியறிவு சதவீதம் ஆகும்.",Twenty-five percent of British women prefer chocolate over sex.
151,2344,Better late than never.,Parempi myöhään kuin ei milloinkaan.,Better late than never. | Better late than never! | Better late to act than never.
152,2345,"Like father, like son.",Ei omena kauas puusta putoa.,"Like a father, like a son. | Like a father, like a son. | The apple doesn't fall far from the tree."
153,2350,All cats are grey in the dark.,Visi kissat ovat harmaita pimeässä.,"In the dark, all cats are gray."
154,2352,No news is good news.,"On hyvä merkki, jos heista ei kuulu mitään.",No news is good news. No message is good news.
155,2368,He's a good person.,Hän on hyvä Mensch. | Hän on kiltti. | Hän on ystävällinen. | Hän on kiltti Mensch. | Hän on ystävällinen Mensch. | Hän on kiva Mensch. | Hän on kiva Mensch.,He's a good guy. | He's a good guy.
156,2370,Enjoy your meal!,සුභ රාත් රී කෑමක්!,Eat delicious!
157,2378,Make yourself at home.,Ole kuin kotonasi.,Just act like you're at home.
158,2389,I don't want it anymore.,En halua sitä enää.,I don't want it anymore.
159,2401,I thought it was true.,"Myslel jsem, že je to pravda.",I thought it was true.
160,2409,I went to drink a beer with friends.,Menin kaljalle kavereiden kanssa? | Menin kaljalle kavereideni kanssa?,I went to have a beer with friends.
161,2412,They quarreled.,On riitelivät. | On tappelivat.,They were arguing.
162,2413,I ate caviar.,Söin kaviaaria.,I ate caviar.
163,2418,How much is it?,How much se maksaa? | What se maksaa?,How much does it cost? | How much is it?
164,2423,Did you leave a tip?,ජැටිට්කෝ ටිපියා?,Did you give a foo?
165,2424,Don't forget the ticket.,අනේ ඔන්හදා ලිපු.,Don't forget the card.
166,2429,I want you to tell me the truth.,"Chci, abys mi řekl pravdu.",I want you to tell me the truth. I want you to tell me the truth.
167,2437,I talked to friends.,Puhuin ystävilleni.,I talked to friends.
168,2444,Tell me what happened.,Kerro minulle mitä tapahtui.,Tell me what happened.
169,2449,It's more difficult than you think.,Se on vaikeampaa kuin luulet.,It's harder than you think. | It's harder than you think. | It's harder than you think.
170,2453,I don't agree with him.,I don't agree with him. I don't agree with him. I don't agree with him. I don't agree with him. I don't agree with him.,I don't agree with him.
171,2474,I'd rather be a bird than a fish.,"""അരിക്കാം mieluummin lintu kuin kala.""",I would rather be a bird than a fish.
172,5944,Tell me about it!,Kerro minulle siitä!,Tell me about it!
173,5999,I have to take medicine.,Minun täytyy ottaa lääkettä.,I have to use medication.
174,6019,I work even on Sunday.,Teen töitä auch Sonntagna.,I even work on Sundays.
175,6024,It happened a long time ago.,To se stalo dlouhou dobu sitten. | To se stalo dlouhou dobu sitten.,It happened a long time ago.
176,6026,Where have you been?,Missä olet gewesen? | Missä te olette olleet?,Where were you? Where were you? Where have you been? Where have you been?
177,6034,It's been snowing all night.,Satanut lunta Koko yön న.,It's been screaming all night.
178,6054,"He was born on July 28th, 1888.","அதில் பட்டியல் சாதி மக்களின் தொகை 28,788 ஆக உள்ளது.","He was born on July 28, 1888."
179,6130,She is mad at me.,Hän on vihainen minulle.,She's mad at me.
180,9905,You can rely on him.,Voit luottaa häneen.,You can count on him. | You can trust him.
181,13335,Did you meet her?,Tapasitko hänet?,Did you meet her?
182,15859,Can you ride a horse?,ഒസാടാക്ടോ മന്ത്രവാദിനി?,Can you ride a horse? | Can you ride a horse? | Can you ride a horse?
183,15882,Do you live here?,ඔයා මෙහෙට එනවද?,Are you here? | Are you here? | Are you here to win?
184,15904,Who are you waiting for?,ඔයාට මොනවද ඕන? ඔයාට මොනවද ඕන? ඔයාට මොනවද ඕන?,Who are you waiting for?
185,15913,I'm proud of you.,Olen ylpeä sinusta. | Olen ylpeä teistä.,I'm proud of you. | I'm proud of you. | I'm proud of you. | I'm proud of you.
186,15918,You look bored.,seemedt ikävystyneeltä. | seemedt tylsistyneeltä.,Looks bored.
187,15993,You work hard.,Sinä teet kovasti töitä.,You work hard.
188,16010,Are you writing a letter?,කිරජොට්කෝ කිරජෙට්ටා?,Does he write a letter?
189,16020,Can you drive a car?,ඔසාටො ජායා ඔටෝආ?,Can you drive? | Can you drive?
190,16023,You should apologize.,Sinun pitäisi pyytää anteeksi.,You should apologize.
191,16117,Why were you absent yesterday?,昨天为什么没去巴黎?,Why were you absent yesterday?
192,16122,You must do your best.,Sinun täytyy tehdä parhaasi.,You've got to do your best.
193,16130,You look pale today.,Dneska jsem v pořádku.,Ge looks like a bleach today. | You look like a bleach today. | You see some bleach today.
194,16159,You have to go.,Sinun täytyy mennä. | Sinun on pakko mennä.,You have to go.
195,16161,You'd better not go.,Sinun on parempi jättää menemättä.,You better not go. | You better not go.
196,16164,Are you happy?,Oletko onnellinen? | Oletteko te glücklichia? | Oletteko glücklichia?,Are you happy? Are you happy? Are you happy? Are you happy? Are you happy? Are you happy?
197,16216,You broke the rule.,සිනා rikoit sääntöä.,You've broken the rule.
198,16224,You look pale.,පේන විදිහට කාල්පාටලා.,You see what it looks like.
199,16246,Will you stay at home?,Ar norite likti namuose? | Ar norite likti namuose? | Jäätkö sinä kotiin?,Staying home like that? | Staying home?
200,16255,What are you looking for?,මොනාද ඔයා කරන්නේ?,What are you looking for? What are you looking for? What are you looking for? What are you looking for? What are you doing?
201,16256,What are you looking at?,What do you think? | What do you really think?,What are you looking at? | What are you looking at? | What are you looking at?
202,16259,What do you intend to do?,क्या आप कर रहे हैं? | आप क्या कर रहे हैं? | आप क्या कर रहे हैं? | आप क्या सोच रहे हैं?,What do you plan to do? | What do you plan to do? | What did you plan to do?
203,16263,What do you want to be?,നിനക്കെന്താ വേണ്ടത്?,What do you want to be?
204,16265,What will you have?,මොනාද ඔයා ගන්න හදන්නේ?,What are you going to take?
205,16268,What woke you up?,මොකද්ද හර්තාටි සිනට්?,What did you wake up? What did you wake up? What did you wake up? What did you wake up? What did you wake up? What did you wake up? What did you wake up?
206,16283,You dropped your pencil.,Pudotit kynäsi. | Pudotit lyijykynäsi.,You dropped your pencil.
207,16289,Do you study English?,Aprašymas anglų kalba? | Aprašymas anglų kalba?,Do you study English?
208,16300,Can you swim?,Osaatko uida? | Osaatko sinä uida?,Can you swim?
209,16428,Can you speak French?,Osaatko ranskaa? | Osaatko puhua ranskaa? | Osaatko sinä ranskaa? | Osaatko sinä puhua ranskaa?,Can you speak French? | Can you speak French? | Can you speak French?
210,16449,Do you want anything?,നിനക്കെന്താ വേണ്ടത്?,Do you want something? | Do you want something? | Do you want something?
211,16475,You look very tired.,seemedt hyvin väsyneeltä. | seemedt todella väsyneeltä.,You look very tired. | You look very tired. | You look very tired.
212,16491,How about you?,നിനക്കെന്താ വേണ്ടത്?,And you? | And you? | And you?
213,16492,What are you doing?,Что ты делаешь? Что ты делаешь? Что ты делаешь?,What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing? What are you doing?
214,16525,You have many books.,Sinulla on monta kirjaa. | Sinulla on monia kirjoja. | Teilla on monia kirjoja. | Teilla on monta kirjaa.,You have lots of books. | You have lots of books. | You have lots of books.
215,16590,Did you watch the game?,Katsoitko pelin?,Did you see the game?
216,16715,You can study here.,Voit opiskella täällä.,You can study here. | You can study here. | You can study here.
217,16747,Aren't you happy?,Etkö ole onnellinen?,Isn't she happy? | Isn't she happy?
218,16774,What time do you usually get up?,මොන වෙලාවටද ඔයා සාමාන් යයෙන් එන්නේ?,How late do you usually get up? | How late do you usually get up?
219,16945,Compare your answer with Tom's.,Vertaa vastaustasi Tomin vastaukseen. | Vertaa vastaustasi Tomin vastauksen kanssa.,Compare your answer to Tom's answer.
