,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
17,1299,I make €100 a day.,I earn a hundred euros a day.I earn a hundred euros a day.,I earn 100 dollars a day.,I am giving a hundred euros a day. | I am giving a hundred euros a day. | I am giving a hundred euros a day. | I am giving a hundred euros a day. | I am giving a hundred euros a day. | I am giving a hundred euros a day. | I am giving a hundred euros a day. | I am giving a hundred euros a day.,I earn 100 euros a day. | I earn 100 euros a day.,I earn 100 euros a day.,I'm making 100 euros a day. | I'm making 100 euros a day. | I'm making a hundred euros a day. | I'm making a hundred euros a day.,I make a hundred bucks a day. I make a hundred bucks a day. I make a hundred bucks a day. I make a hundred bucks a day.,I earn 100 euros a day.,I earn €100 a day.,I earn a hundred euros a day. | I earn 100 euros a day.,Gain 100 € per day.,I earn 100 euros a day.,I make 100 euros a day. | I make 100 euros a day.
20,1302,That won't happen.,That doesn't happen.,That won't happen. | That won't happen.,That will not happen. | That will not happen.,It will not happen. | It will not happen.,This won't happen. | This won't happen. | This won't happen. | This won't happen. | This won't happen.,It won't happen. | No way.,That's not going to happen. | It's not going to happen. | It's not going to understand.,That's not going to happen.,That will not happen.,It won't happen. | It won't happen. | It won't happen.,That will not happen. | That will not happen. | That will not happen.,He will not be.,It won't happen. | It won't happen. | It won't happen. | It won't happen.
22,1304,I'll do my best not to disturb your studying.,I'll try not to bother you with the review.,I'm going to try not to bother you learning. | I'm going to do my best not to bother you studying.,I will do my best not to interfere with the matter of learning.,I will do my best not to disturb your revisions.,I will try not to bother you with learning.,Try not to interfere with your learning. | Try not to interfere with your learning.,I'll do my best not to disturb your study.,It will not interfere with your study.,I will try not to disturb you in science.,I will try not to hinder you from learning. | I will try not to distract you from the activities.,I will do my best not to disturb your study. | I will do my best not to disturb your study.,I will do my best not to divide the work. | I will do my best not to disturb the work.,I'll do whatever I can to stop you from learning. | I'll do whatever I can to stop you from learning.
25,1308,I miss you.,I miss you very much.I miss you very much.I miss you.I miss you.I miss you.,I miss you.,I miss you. | I miss you as I grow older. | I miss you. | I miss you. | I miss you. | I miss you. | I miss you.,You miss me. | You miss me.,I miss you. | I miss you. | I miss you. | You miss me.,I miss you. | I miss you. | I miss you. | I miss you. | I miss you. | I miss you.,I miss you. I miss you. I miss you. You miss me. You miss me. I miss you. I miss you. I miss you. I miss you. I miss you.,I'm sorry not to see you. | I'm sorry not to have you. | I'm sorry not to have you.,I miss you. | I miss you. | I miss you.,I miss you. I miss you. I miss you. I miss you. I miss you. I miss you. I miss you. I miss you! I miss you. I miss you. I miss you. I miss you.,You are strange. | I eat less of you. | Strangers.,I love you. | I love you.,I miss you. | I miss you. | I miss you.
26,1309,I'll call them tomorrow when I come back.,I'll contact them when I come back tomorrow.,I'll call them tomorrow when I get back. | I'll call them tomorrow when I get back.,I will call on them tomorrow when I come back.,I will call them tomorrow when I come back.,I'll call her tomorrow when I come back.,"You'll call them tomorrow when I come back. | Call them tomorrow, when I come back.",I'll call them tomorrow when I come back. | I'll call them tomorrow when I come back.,i'll call you when i get home tomorrow.,I'll call them tomorrow when I come back.,I'll call them tomorrow when I get home. | I'll call them tomorrow when I get home.,I will call them when he returns tomorrow. | I will call them tomorrow when he returns.,I'll look for them when I get back. | I'll look for them tomorrow when I get back.,I'll call them when I get back tomorrow.
28,1311,You should sleep.,You should go to bed.,You should sleep. | You should sleep better.,You should sleep. | You are the best to sleep. | You should sleep.,You'll have to sleep.,You should sleep. | You should sleep.,You need to sleep. | You need to sleep. | You better sleep. | You better sleep. | You need to sleep. | You better sleep. | You need to sleep.,You should sleep. | You should sleep. | She should sleep. | You should sleep.,it's better to sleep. | it's better to sleep.,You should sleep.,You better sleep. | You need to sleep. | You need to sleep. | You need to sleep.,You should sleep.,Attention is needed.,You should go to bed. | You should go to bed.
29,1312,I'm going to go.,I'm gonna go.,I'm going.,I am leaving. | I am going to go. | I am going. | I am leaving.,I will go there.,I'm going.,I'm going. | I'm going to go. | I'm going to go.,I'm going. | I'm going to go. | I'm going. | I'm going.,let's go. | let's go later.,I intend to go.,I'm going. | I'm going to go. | I'm going to go. | I'm going to go.,I am going to go.,I'm going. | I'm going.,I'll go. | I'm already going. | I'll go. | I'm going to go.
30,1313,I told them to send me another ticket.,I asked them to send me another ticket.,I told them to send me a new ticket. | I told them to send me another ticket.,I told them to send me another flag. | I went to send them another flag.,I told them to send me another ticket. | I told them to send me another ticket.,I told them to send me a new ticket. | I told them to send me a new ticket.,I told them to send me another card.,I told them to send me another card. | I told them to send me another card. | I told them to send me another card. | I told them to send me another card. | I told them to send me another card.,I asked them to send me another ticket.,I told them to send me another ticket. | I told them to send me another ticket. | I told them to send me another ticket. | I told them to send me another ticket. | I told them to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket. | I told them to send me another ticket.,I told them to send me another ticket. | I told them to send me another ticket.,I told them to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,I used to think of myself as a space physicist.,I used to want to be an astrophysicist.,Sometimes I wanted to be an atrophist.,It was a time when I wanted to be an astrophysicist.,I wanted to be an astrophysicist.,"At the time, I wanted to be an astrophysicist.",I used to want to be an astrophysicist.,I wanted to be an astrophysicist for a while.,I once wanted to be an astrophysicist.,I wanted to be an astrophysicist once. | I wanted to be an astrophysicist once.,I once wanted to be an astrophysicist.,I wanted to be an astrophysicist once.,I once wanted to be an astrophysicist.
34,1317,I never liked biology.,I never liked biology.,I never loved biology.,I never liked biology.,I never liked biology.,I never liked biology.,I never loved biology.,I never liked biology. | I never liked biology.,I don't like biology. | I never liked biology.,I never liked biology.,I never loved biology. | I never loved biology. | I never loved biology. | I never loved biology.,I never liked biology.,I never liked biology.,I never liked biology. | I never liked biology. | I never liked biology.
35,1318,The last person I told my idea to thought I was nuts.,The last one who heard me say my idea thought I was crazy.,The previous person I talked to thought I was crazy.,The last person to whom I gave my idea thought that I was confused.,The last person I talked to about my idea thought I was crazy.,The last person I told my idea thought I was crazy.,"The last person I talked to about my idea, he thought I was nuts.",The last person I talked to about my idea thought I was crazy.,It seems that the person who last told me his thoughts thought I was a stranger.,The last person I talked to about my thoughts considered me a variant.,The last person I told him about my idea decided I was crazy.,The last person to whom I gave my idea thought I was crazy.,I thought I was the last person to tell my fiction.,The last person I talked to about my idea decided I was crazy.
37,1320,It is unfortunately true.,It's a pity it's true.,"Unfortunately, it's true.","It is true, unfortunately. | That is unfortunately true.",That is unfortunately true.,"Unfortunately, it is true. | Unfortunately, it is true. | Unfortunately, it is true.","Sadly, that's true. | That's true of Davinia.",This is unfortunately true. This is unfortunately true. This is unfortunately true. This is unfortunately true.,"Unfortunately, it is true.",This is unfortunately true.,"Unfortunately, this is true. | Unfortunately, this is true.","Unfortunately, that is true. | Unfortunately, that is true. | Unfortunately, that is true.",This is unfortunately true. | Unfortunately true.,"Sadly, it's true. | Sadly, it's true. | Sadly, it's true."
39,1322,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I am mad. | Most people think I am mad. | Most people think I am mad.,Most people think I'm crazy. | Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy. | Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm wrong.,Most people think I'm crazy. | Most people think I'm crazy.,Most people think I'm crazy. | Most people think I'm crazy. | Most people think I'm crazy.,Most people think I'm crazy. | Most people think I'm crazy. | Most people think I'm crazy. | Many people think I'm crazy. | Many people think I'm crazy.,Many people think I'm a liar.,Most people think I'm crazy. | Most people think I'm crazy.
42,1325,He's kicking me!,He's kicking me!,He's kicking me!,He beat me!,He gives me kicks!,He attacks me!,He's beating me!,He's kicking me! | He's kicking me!,he's kicking me!,He copied me!,He's punching me!,He's kidding me!! | He's kidding me!,He's kicking me!,He's beating me on the legs!
43,1326,Are you sure?,Are you sure? Are you sure? Are you sure?,Are you sure? | Are you sure? | Are you sure? | Are you sure?,Are you sure? | Are you sure?,Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure?,Are you sure? | Are you sure? | Are you sure?,Are you sure? | Are you sure about this? | Are you sure? | Are you sure? | Do you think so? | Are you sure? | Are you sure? | Are you sure?,Are you sure? | Are you sure?,Really? | Really?,Are you sure? | Are you sure?,Are you sure? Are you sure? Are you sure? Are you sure?,Are you safe? Are you safe? Are you safe? Are you safe? Are you safe? Are you safe? Are you safe?,Are you sure?,Are you sure? | Are you sure? | Are you sure? | Are you sure? | Are you sure?
45,1328,"Oh, there's a butterfly!",Oh! There's a butterfly!,"Oh, there's a butterfly!","Oh, there is a tree!","Oh, there's a bird! | Oh, there's a bird! | Oh, there's a bird!","Oh, there's a butterfly!","Oh, there's a butterfly! | Oh! There's a butterfly!","Oh, there's a butterfly!","Oh, there are butterflies! | Oh, there are butterflies! | Oh, there are butterflies!","Oh, there's a butterfly!","Oh, there's a butterfly! | Oh, look, there's a butterfly! | Oh, there's a butterfly!","Ah, there is a mermaid!","Ah, there's a butterfly!","Look, there's a butterfly! | Oh, there's a butterfly!"
46,1329,Hurry up.,Hurry! Hurry! Hurry! Hurry! Hurry!,Go ahead! | Go ahead. | Go ahead. | Go ahead! | Go ahead!,Hurry up.,De-fish! | De-fish! | Catch! | Go! | Press! | Fire! | Magnify! | Magnify!,Hurry up! Hurry up! Hurry up!,Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up!,Hurry up! Hurry up! Hurry up!,hurry up! hurry up! hurry up! hurry up!,Hurry up!,Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up! Hurry up!,Hurry up! | Hurry up. | Join. | Hurry up.,Search!,Hurry up! | Hurry up! | Crash! | Hurry up! | Jump! | Hurry up! | Hurry up! | Hurry up! | Hurry up. | Hurry up. | Crash.
47,1330,It doesn't surprise me.,That doesn't surprise me.,It doesn't surprise me.,It does not surprise me. | It does not surprise me. | It will not come as a surprise. | It does not surprise me. | It does not surprise me. | It does not surprise me. | It does not surprise me.,I am not surprised. | I am not surprised.,It doesn't surprise me. | It doesn't surprise me.,Not surprising to me. | Not surprising to me.,I'm not surprised.,it's not surprising.,That doesn't surprise me. | Somehow it doesn't surprise me.,This is not surprising. | I am not surprised.,I am not surprised.,He doesn't surprise me. | He didn't surprise me.,That's not surprising. | That doesn't surprise me.
49,1333,It depends on the context.,It depends on the situation.It depends on the situation.,It depends on the context.,It depends on context. | It depends on context.,It depends on the context.,It depends on the context. | It depends on the context. | It depends on the context.,It depends on context.,It depends on the context.,It depends on the context.,It depends on the context.,This depends on the context. | Depending on the context.,It depends on the context. | It depends on the context. | It depends on the context.,It depends on connection. | It depends on the inside.,It depends on the context. | It depends on the context.
51,1335,That's the stupidest thing I've ever said.,That's the stupidest thing I ever said.That's the stupidest thing I ever said.,That's the stupidest thing I've ever said.,It is the stupidest thing I ever said. | It is the stupidest thing I ever said. | It is the stupidest thing I ever said.,That is the stupidest thing I've ever said.,This is the stupidest thing I've ever said.,It's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,I have never said such a foolish thing.,It's the stupidest thing I've ever said.,This is the stupidest thing I've ever said. | This is the stupidest thing I've ever said.,It's the stupidest thing I've ever said. | It's the stupidest thing I've ever said.,That's the stupidest thing I've ever said. | That's the stupidest thing I've ever said.,It's the greatest nonsense I've ever said.
53,1337,"When I grow up, I want to be a king.",I wanted to be king when I grew up.,"When I grow up, I want to be a king.","When I grow up, I want to be king. | When I grow up, I want to be king.","When I grow up, I want to be king. | When I grow up, I want to be king.","When I grow up, I want to be a king.","I want to be a king when I grow up. | When I grow up, I want to be a king.","When I grow up, I want to be king. | When I grow up, I want to be king.",I want to be a king when I grow up.,"When I grow up, I want to be a king.","When I grow up, I want to be a king. | I want to be a king when I grow up.","When you grow up, I want to be a king. | I want to be a king when I grow up.",I want to be a king when I grow up.,I want to be a king when I grow up. | I want to be a king when I grow up. | I want to be a king when I grow up.
56,1340,So what?,What about that?,"So? | And? | Well, what?",What then? | What then? | What then? | What then?,"And then? | Well, what? | And so? | And then? | And?",Yes and? | Yes and?,"So what? | So? | Well, so what? | Well?",So what? | So what?,so what? what is it? what is it?,What and what? | What and what?,So what? | Well and what? | And what? | Well?,So what? | And what? | And to me what?,Then what should we do? | What did it mean? | What happened? | What did it mean? | Eee?,So what? | What? | What? | What?
61,1345,I've always wondered what it'd be like to have siblings.,I always wanted to know what it would be like to have brothers and sisters.,I've always wondered what it would be like to have brothers and sisters.,I have always wondered what it would be like to have siblings.,I've always wondered what it would be like to have siblings.,I've always wondered what it would be like to have siblings.,I've always wondered what it feels like to have a brother or sister.,I've always wondered what it would be like to have brothers or sisters. I've always wondered what it would be like to have brothers or sisters.,I always wonder what it would be like to have a brother.,I've always wondered what it's like to have a sibling.,I always wondered what it was like to have brothers and sisters. | I always wondered what it was like to have brothers and sisters.,I have always wondered what it would be like to have brothers.,I have always wondered what it is to have brothers.,I've always wondered what it's like to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,"I'm afraid I won't be able to explain everything, even if I say three days and three nights ago.It takes a lifetime to explain everything.",I need an eternity to explain everything. | I would have an eternity to explain everything.,It would take forever to explain everything.,It would take me forever to explain everything.,It would take forever to explain everything. | To explain everything I would need forever.,It's going to take ages to explain it all. | I need links to explain it all.,It would take me a lifetime to explain it all.,It's impossible to explain everything for as long as it takes.,It takes eternity to explain everything.,It would take eternity to explain everything.,It would take me forever to explain everything to you.,My explanation of everything lasts forever.,I'm going to take time to explain.
64,1348,That's because you're a girl.,That's because you're a girl.,That's because you're a girl.,This is because you are a girl. | This is because you are a girl.,It's because you're a girl. | It's because you're a nana.,That's because you're a girl.,It's because you're a girl. | It's because you're a girl.,That's because you're a girl. That's because you're a girl. That's because you're a girl.,because you're a girl.,It's because you're a girl.,This is because you are a girl. | This is because you are a girl.,That's because you're a girl. | That's because you're a girl. | That's because you're a girl.,Your self is not to be a girl.,It's because you're a girl. | It's because you're a girl.
79,1363,I thought you liked to learn new things.,I think you like to learn new things.,I thought you liked to learn new things.,I thought you liked learning new things.,I thought you wanted to learn new things. | I thought you wanted to learn new things.,I thought you'd like to learn new things.,I thought you like to learn new things.,I thought you'd like to learn new things.,I thought you wanted to learn something new.,I thought you'd want to learn something new. | I thought you'd want to learn something new.,I thought you like to study new things.,I thought you liked to learn new things.,I thought he liked to learn new things.,I thought you like to learn new things. | I thought you like to learn new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,Most people write about their day-to-day lives.,Most people write about their daily lives. | Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their everyday life.,Most people write about their day-to-day lives.,Most people write about their everyday lives.,Many people write about everyday things. | Most people write about everyday life.,Most people write about their daily lives.,Most people write about their daily lives. | Most people write about their daily lives.,Most people write about their daily lives.,Many write about everyday life.,Most people make daily notes about their lives.
82,1366,"In order to do that, you have to take risks.","To do this, you need to take risks.","And to do that, you have to take risks.",You have to take risks to do that.,"To do this, you need to take risks.","To do this, you need to take risks. | To do this, you need to take risks. | To do this, you need to take risks. | To do this, you need to take risks.","To do that, you have to take risks.","To do that, you have to take risks.","In order to do this, you must take risks.","To do this, you need to take risks.","You have to take risks to do this. | To do this, you have to take risks.","To do that, you have to take a risk.","To do that, you have to take risks. | To do that, you have to take risks.",You have to take risks to do it.
84,1368,Why do you ask?,What did you ask the stem?,Why do you ask that? | Why do you ask that? | Why do you ask that?,Why do you ask? | Why do you ask?,Why do you ask?,Why do you ask? | Why do you ask?,Why are you asking? | Why are you asking?,Why do you ask?,why do you ask? | why do you ask?,What are you asking? | Why are you asking?,Why do you ask? | And why do you ask? | Why do you ask?,Why do you ask? | Why do you ask?,Why are you asking? | Why are you asking? | Why did you ask?,And why do you ask? And why do you ask? And why do you ask? And why do you ask? And why do you ask? And why do you ask? And why do you ask?
89,1373,How long did you stay?,How long have you been there,How long have you been here?,How long have you been there? | How long have you been there? | How long have you been there? | How long have you been there?,How long did you stay? | How long did you stay? | How long did you stay? | How long did you stay? | How long did you stay? | How long did you stay? | How long did you stay? | How long did you stay?,How long have you stayed? | How long have you stayed? | How long have you stayed?,How much time do you have left?,How long have you been? How long have you been? How long have you been? How long have you been? How long have you been? How long have you been? How long have you been? How long have you been? How long have you been? How long have you been?,how long have you been here?,How long are you standing?,How long have you been there?,How long have you been? | How long have you been?,How long have you been there?,How long have you been there? | How long have you been there?
95,1379,That is intriguing.,That's interesting.,That makes you curious.,Interesting. | Just interesting. | Just interesting.,It is intriguing.,That makes you curious.,It's intriguing. | It's interesting.,That's intriguing. That's intriguing. That's intriguing.,that's interesting.,It is intriguing.,This is interesting.,That is intriguing.,That's interesting.,It's intriguing. | It's interesting.
102,1386,I didn't like it.,I didn't like it.,I didn't like it.,I did not like it. | I did not like it.,I didn't like it. | I didn't like it.,I didn't like it. | I didn't like it.,I didn't like it. | I didn't enjoy it. | It didn't sit well with me.,I didn't like it. I didn't like it. I didn't like it. I didn't like it. I didn't like it. I didn't like it.,I didn't like it.,I didn't like it. | I didn't like it.,I didn't like it. | I didn't like it.,I didn't like it. | I didn't like it.,I didn't like it.,I didn't like it. | I didn't like it.
111,1395,I have to go to bed.,I should go to bed.I should go to bed.,I have to go to bed. | I have to go to bed.,I have to go to bed. | I have to go to bed.,I must go to bed. | I must go to sleep.,I have to go to bed. | I have to go to bed. | I have to go to sleep.,I gotta go to sleep. | I gotta go to sleep. | I gotta go to sleep. | I gotta go to sleep.,I have to go to bed. | I have to go to bed.,I have to sleep. | I don't have to sleep anymore. | I don't have to sleep! | I have to sleep. | I don't have to sleep.,I have to go to sleep.,I need to go to bed.,I have to go to bed. | I have to go to bed.,I have to sleep. | I should go to sleep. | I have to sleep.,I have to go to bed. | I have time to go to bed. | I have to go to bed. | I have to go to bed.
118,1402,That wasn't my intention.,It's not my intention.It's not my intention.It's not my intention.,That wasn't my intention.,That was not my intention. | That was not my intention.,That was not my intention.,That was not my intention.,That wasn't my intention. | I didn't mean that. | I didn't have that intention.,That wasn't my intention.,i didn't mean to.,I had no such intention.,It was not my intention. | I had no such intention.,That was not my intention. | That was not my intention.,That was not my intention. | That was not my intention.,I didn't mean to. | I didn't mean to.
119,1403,Thanks for your explanation.,Thank you for your explanation.,Thank you for explaining.,Thank you for your explanation.,Thank you for your explanation. | Thank you for your explanation. | Thank you for your clarification.,Thanks for your explanation. | Thank you for your explanation.,Thank you for explaining. | Thank you for explaining.,Thank you for your explanation. | Thank you for your explanation. | Thank you for your explanation.,Thank you for explaining.,Thank you for your explanation. | Thank you for explaining.,Thank you for your explanation. | Thank you for your explanation. | Thank you for your explanation.,Thank you for your explanation. | Thank you for your explanation.,Thank you for your statement.,Thank you for your explanation.
