,index,english,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish
30,1313,I told them to send me another ticket.,I told them to send me another card.,I told them to send me another ticket. I told him to send me another ticket. I told him to send me another ticket. I told him to send me another ticket. I told him to send me another ticket.,I asked them to send me another ticket.,"I told them to send me another ticket, and I told them to send me another ticket, and I told them to send me another ticket, and I told them to send me another ticket."
33,1316,I once wanted to be an astrophysicist.,"At the time, I wanted to be an astrophysicist.",I wanted to be an astrophysicist once.,I wanted to be an astrophysicist for a time.,I used to want to be an astrophysicist.
34,1317,I never liked biology.,I never liked biology.,I never liked biology. I never liked biology.,I don't like biology. I never liked biology.,I never liked biology.
35,1318,The last person I told my idea to thought I was nuts.,The last person I told my idea to thought I was a fuck-up.,The last person I told my idea to thought I was crazy. The last person I told my idea to thought I was crazy.,The last person I shared my thoughts with seems to think I'm crazy.,The last person I told about my idea thought I was crazy.
37,1320,It is unfortunately true.,"Unfortunately, that's true.","Unfortunately, it's true. Unfortunately, it's true. Unfortunately, it's true.",I'm afraid it's true.,I'm afraid that's true.
39,1322,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,"Most people think I'm crazy, most people think I'm crazy."
42,1325,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!
43,1326,Are you sure?,Are you sure? Are you sure? Are you sure?,Are you sure?,Are you serious?,Are you sure?
45,1328,"Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!",There's a butterfly! There's a butterfly!,"Oh, there's a butterfly!"
46,1329,Hurry up.,Hurry up! Hurry up! Hurry up!,Hurry up! Hurry up! Hurry up!,Hurry! Hurry! Hurry! Hurry!,Hurry up!
47,1330,It doesn't surprise me.,Doesn't surprise me. lt doesn't surprise me.,I'm not surprised.,It's not surprising.,It doesn't surprise me. It doesn't surprise me.
49,1333,It depends on the context.,Depends on the context.,It depends on the context.,That depends on the context.,Depends on the context.
51,1335,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said. That's the stupidest thing I've ever said.,I've never said anything stupid.,That's the stupidest thing I've ever said.
53,1337,"When I grow up, I want to be a king.",I want to be king when I grow up.,"When I grow up, I want to be a king. I want to be a king when I grow up.","When I grow up, I want to be king.","When I grow up, I want to be king."
56,1340,So what?,So what? So? So?,So what?,I don't know what you're talking about.,So what?
61,1345,I've always wondered what it'd be like to have siblings.,I always wondered what it felt like to have a brother or sister.,I've always wondered what it would be like to have brothers or sisters. I've always wondered what it would be like to have brothers or sisters. I've always wondered what it would be like to have brothers or sisters. I've always wondered what it would be like to have brothers or sisters.,I always wonder what it would be like to have a brother.,I always wondered what it was like to have siblings.
63,1347,It would take forever for me to explain everything.,It'll take ages to explain everything.,It would take me a lifetime to explain everything.,"No matter how long it takes, I can't explain everything.",It takes forever to explain everything.
64,1348,That's because you're a girl.,That's because you're a girl.,It's because you're a girl. That's because you're a girl. It's because you're a girl.,Because you're a girl.,That's because you're a girl.
79,1363,I thought you liked to learn new things.,I thought you liked learning new things.,I thought you liked learning new things.,I thought you wanted to study new things.,I thought you might want to learn something new.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,Most people write about their daily lives.,Many people write about everyday things. Most people write about everyday life.,Most people write about their daily lives.
82,1366,"In order to do that, you have to take risks.","To do that, you have to take risks.","To do that, you have to take risks.","To do that, you have to take the risk.","In order to do this, you have to take risks."
84,1368,Why do you ask?,Why do you ask?,Why do you ask?,Why are you asking me that?,Why do you ask?
89,1373,How long did you stay?,How long did you stay?,How long have you stayed?.... How long have you stayed?... How long have you stayed?... How long have you stayed?..... How long have you been?..... How long have you been?... How long have you been?... How long has it been?,How long have you been here?,How long have you been standing there?
95,1379,That is intriguing.,It's intriguing. lt's interesting.,That's intriguing. That's intriguing. That's intriguing.,That's funny.,It's intriguing.
102,1386,I didn't like it.,I didn't like it.,I didn't like it. I didn't like it. I didn't like it. I didn't like it. I didn't like it. I didn't like it. I didn't like it.,I didn't like it.,I didn't like it. I didn't like it.
111,1395,I have to go to bed.,I have to go to bed. I have to go to bed. I have to go to bed.,I have to go to bed. I have to go to bed.,I have to go to bed. I have to go to bed. I have to go to bed.,I have to go to sleep.
118,1402,That wasn't my intention.,That wasn't my intention. I didn't mean that. I didn't mean that.,I didn't mean to.,I didn't mean to.,I didn't mean to.
119,1403,Thanks for your explanation.,Thank you for explaining it to me.,Thank you for your explanation. Thank you for your explanation. Thank you for your explanation.,Thank you for explaining.,Thank you for explaining this to me.
123,1408,I don't know what you mean.,I don't know what you mean.,I don't know what you mean. I don't know what you mean.,I don't know what you mean. I don't know what you mean.,I don't know what you mean.
132,1417,I need to ask you a silly question.,I need to ask you a stupid question.,I need to ask you a stupid question.,I have a stupid question.,I have to ask you a stupid question.
136,1421,No one will know.,No one will know.,Nobody's gonna know. No one's gonna know.,No one knows. No one will know.,No one's gonna know.
138,1423,It seems interesting to me.,It looks interesting to me!,That sounds interesting!,Sounds fun!,Seems interesting to me!
140,1425,I like candlelight.,I love candlelight.,I like the light of the candles. I like the light of the candles.,I like candles.,I like candlelight.
149,1434,I love you.,I love you.,I love you. I love you. I love you. I love you. I love you.,I love you. I love you. I love you. I love you. I love you. I love you. I love you.,"I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you."
151,1436,I am curious.,I'm curious. I'm curious.,I'm curious. I'm curious.,I'm curious. I'm curious.,I'm very curious.
152,1437,Congratulations!,Congratulations! Congratulations! Congratulations!,Congratulations!,Congratulations! Congratulations!,Congratulations!
153,1438,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long. I don't want to wait that long.,I don't want to wait so long. I don't want to wait so long.,I don't want to wait that long.
154,1439,Why don't you come visit us?,Why don't you come visit us? Why don't you come visit us?,Why don't you come and visit us? □ Why don't you come visit us? □ Why don't you come visit us?,Why don't you come to my house?,Why don't you come visit us?
159,1445,I hate chemistry.,I hate chemistry.,I hate chemistry. I hate chemistry.,I don't like chemistry.,I hate chemistry. I hate chemistry.
165,1451,I have nothing better to do.,I don't have anything better to do.,I have nothing better to do. I have nothing better to do.,There is no other way than to do it.,I have nothing better to do.
166,1452,I can't explain it either.,I can't explain it either.,I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it either. I can't explain it either.,I can't even explain it. I can't explain it either.,I can't explain it either. I can't explain it either.
167,1453,Everyone has strengths and weaknesses.,They're all strong and weak points.,Everyone has strength and weakness. They all have strength and weakness.,Everyone has strengths and weaknesses.,Everyone has their strengths and weaknesses.
172,1459,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.
174,1461,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my power. Don't underestimate my power. Don't underestimate my power.,Don't underestimate my power. Don't underestimate my power.,Don't underestimate my power.
175,1462,My mom doesn't speak English very well.,My mother doesn't speak very good English.,My mom doesn't speak English very well.,My mother can't speak English very well. My mother can't speak English very well.,My mom doesn't speak English very well.
181,1468,Everyone wants to meet you. You're famous!,"The whole world wants to meet you, you're famous!","Everyone wants to know you, you're famous! ""Everyone wants to know you. You're famous! ""Everyone wants to know you. You're famous!",Everyone wants to see you. You're famous!,"Everyone wants to meet you, you're famous, everybody wants to meet you, you're famous!"
194,1481,"Tomorrow, he will land on the moon.",Tomorrow it will land on the moon. Tomorrow it will land on the moon.,Tomorrow he will land on the moon. Tomorrow he will land on the moon.,He'll land on the moon tomorrow.,Tomorrow he'll land on the moon and tomorrow he'll land on the moon.
195,1482,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese. I don't speak Japanese. I don't speak Japanese. I don't speak Japanese.,I can't speak Japanese.,I don't speak Japanese.
197,1484,Nobody understands me.,Nobody understands me.,Nobody understands me.,No one understands me. No one knows me.,Nobody understands me.
198,1485,I learned to live without her.,I learned to live without her.,I learned to live without her. I learned to live without her.,I learned how to live without her.,I learned to live without her.
200,1487,I have too many things on my mind these days.,I have too much on my mind right now.,I've got too much on my mind these days.,There's too much to think about these days.,I've got too many things on my mind lately.
201,1488,I just wanted to check my email.,I just wanted to check my e-mail.,I just wanted to check my e-mail.,I just wanted to check my email.,I just wanted to check my mail.
209,1496,It would take me too much time to explain to you why it's not going to work.,It'll take me too long to explain to you why it won't work.,It would take me too long to explain why it won't work. It would take me too long to explain why it won't work. It would take me too long to explain why it won't work.,It's going to take a long time to explain to you why it doesn't work.,It would take me too long to explain why this isn't gonna work.
214,1501,It can't be!,That's absolutely impossible!,It can't be. It can't be!,It can't be! It can't be! It can't be!,It can't be!
217,1504,Would you like something to drink?,Would you like something to drink?,Would you like something to drink? Would you like something to drink? □ Would you like something to drink? □ Would you like something to drink? □ Would you like something to drink? □ Would you like something to drink?,Would you like something to drink?,Would you like something to drink?
234,1521,Please don't cry.,Please don't cry.,Please don't cry. Please don't cry.,Please don't cry. Please don't cry.,"Don't cry, please. Please don't cry."
243,1530,Allen is a poet.,Alan's a poet.,Allen is a poet.,Allen is a poet.,Allen's a poet.
248,1535,"If you see a mistake, then please correct it.","If you see a mistake, please correct it.","If you see an error, correct it then, please. If you see an error, correct it then, please. If you see an error, correct it then, please. If you see an error, correct it then, please. If you see an error, correct it then, please. If you see an error, correct it then, please. If you see an error, correct it then, please.","If you find a mistake, please correct it. If you make a mistake, please correct it.","If you see a mistake, please correct it."
253,1540,Why don't we go home?,Why don't we go home?,Why don't we go home?,Shall we go home?,Why don't we go home?
257,1544,One million people lost their lives in the war.,"One million people lost their lives in the war, a million people lost their lives in the war, a million died in the war.",A million people lost their lives during the war.,"One million people lost their lives in that war. In that war, millions of lives were lost.",A million people died in the war.
270,1561,Did you miss me?,"Did you miss me, miss me, miss me?",Did you miss me? • Did you miss me? • Did you miss me? • Did you miss me? • Did you miss me? • Did you miss me?,Did you miss me?,Did you miss me?
272,1564,Thank you very much!,Thank you very much. Thank you very much. Thank you.,Thank you so much!,Thank you! &lt;i&gt;Thank you so much.&lt;/i&gt; &lt;i&gt;Thank you so much.&lt;/i&gt; &lt;i&gt; &lt;i&gt;Thank you so much.&lt;/i&gt; &lt;i&gt; &lt;i&gt;Thank you so much.,Thank you so much!
275,1567,It's a surprise.,It's a surprise.,It's a surprise.,I'm surprised.,This is a surprise.
276,1568,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea. &lt;i&gt;That's a good idea. &lt;i&gt;That's a good idea. &lt;i&gt;That's a good idea. &lt;i&gt;That's a good idea. &lt;i&gt;That's a good idea.,That's a good idea!
285,1578,They say love is blind.,They say love is blind.,Love is said to be blind. They say love is blind.,"I'm going to say, ""I'm sorry.""",They say love is blind.
296,1590,Do you speak Italian?,Do you speak Italian? Do you speak Italian? Do you speak Italian?,Do you speak Italian? - Do you speak Italian? - Do you speak Italian? - Do you speak Italian? - Do you speak Italian? - Do you speak Italian? - Do you speak Italian? - Do you speak Italian? - Do you speak Italian?,Do you speak Italian?,Do you speak Italian? Do you speak Italian? Do you speak Italian?
299,1594,May I ask a question?,Can I ask you a question?,Can I ask a question?,Can I ask you a question?,Can I ask you a question?
307,1602,You'll forget about me someday.,One day you'll forget me. One day you'll forget me. One day you'll forget me.,You'll forget me one day. You'll forget me one day. You'll forget me one day. You'll forget me one day. You'll forget me one day. You'll forget me one day. You'll forget me one day.,"One day, I'll forget about me.",You'll forget about me someday.
308,1603,That is rather unexpected.,It's quite unexpected.,That's pretty unexpected. That's pretty unexpected.,It's rather sudden.,It's quite unexpected.
311,1606,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you.,I couldn't have done it without you.,I couldn't have done it without you. Thank you.,I couldn't have done it without you.
319,1615,Do whatever he tells you.,Do whatever he tells you to do.,Do whatever he tells you.,Do whatever he says.,Do what he says.
323,1619,May I talk to Ms. Brown?,May I speak to Mrs. Brown?,May I speak to Mrs Brown?,May I speak with Mr. Brown?,"May I speak to Mrs. Brown, please?"
326,1622,What do you want?,"What do you want, what do you want?",What do you want? • What do you want? • What do you want? • What do you want? • What do you want? • What do you want? • What do you want? • What do you want? • What do you want? • What do you want? • What do you want? • What do you want?,What are you looking for?,What do you want?
333,1630,I have a dream.,I have a dream.,I have a dream. I have a dream.,I have a dream.,I have a dream.
347,1644,You look stupid.,You look stupid.,You look stupid. You look stupid. You look stupid. You look stupid. You look stupid. You look stupid. You look stupid. You look stupid. You look stupid. You look stupid. You look stupid.,It's so stupid!,You look stupid.
349,1646,My name is Jack.,My name is Jack.,My name is Jack. My name is Jack. My name is Jack.,My name is Jack.,My name is Jack.
350,1647,I like it very much.,I like it very much. I like it very much. I like it very much.,I like it very much. I like it very much.,I like you very much. I like you very much.,I like it a lot.
352,1649,How do you say that in Italian?,How do you say it in Italian? What's it called in Italian?,How do you say that in Italian?,What do you say in Italian? What do you say in Italian?,How do you say it in Italian?
354,1651,Is it far from here?,Is it far from here? Is it far away? Is it far from here?,Is it far from here? Is it far from here?,Is it far from here?,Is it far from here?
355,1652,These things aren't mine!,Those things don't belong to me!,These are not my things! These things are not mine!,These things are not mine.,These things aren't mine!
357,1654,Would you like to dance with me?,Would you like to dance with me?,Would you like to dance with me?,Will you dance with me? Will you dance with me?,Would you like to dance with me?
359,1659,It's not my fault!,It's not my fault.,It's not my fault!,It's not my fault! It's not my fault.,It's not my fault!
363,1663,Where are the showers?,Where are the showers?,Where are the showers?,Where's the shower?,Where are the showers?
366,1666,I have lost my wallet.,I lost my wallet.,I lost my wallet. I lost my wallet.,I lost my wallet. I lost my wallet.,I lost my wallet.
376,1679,Thanks to you I've lost my appetite.,"Thanks to you, I lost my appetite.","Thanks to you, I lost my appetite. Thanks to you, I lost my appetite. Thanks to her, I lost my appetite.",I lost my appetite because of you.,You made me lose my appetite.
386,1689,It is very hot today.,It's very hot today!,It's very hot today. It's very hot today. It's very hot today. It's very hot today.,It's very hot today. It's very hot today. It's very hot today.,It's very hot today.
394,1698,Look at me when I talk to you!,Look at me when I'm talking to you!,Look at me when I'm talking to you. Look at me when I'm talking to you. Look at me when I'm talking to her.,Look at me when I'm talking!,Look at me when I'm talking to you!
401,1705,I'm tired.,I'm tired. I'm tired. I'm weary.,"I'm tired, I'm tired, I'm tired, I'm tired, I'm tired, I'm tired.",I'm tired. I'm tired. I'm tired.,I'm tired.
404,1709,When do we arrive?,When do we get there?,When are we gonna get there?,When are we gonna get there?,When do we get there?
405,1710,"The check, please.","Check, please.","The bill, please. The bill, please.",Please give me your bill. Please give me your bill.,"Check, please."
407,1712,I have a headache.,I have a headache.,My head hurts. I have a headache. I have a headache. I have a headache. I have a headache. I have a headache. I have a headache.,I have a headache. I have a headache. I have a headache in my head. I have a headache in my head. I have a headache in my head.,My head hurts.
411,1716,How are you? Did you have a good trip?,How are you? Did the trip go well? How are you?,Have you had a good trip?,How are you? How was your trip?,Have you had a good trip?
412,1717,I don't feel well.,I don't feel well.,I don't feel well.,I don't feel well. I don't feel well. I don't feel well.,I don't feel good.
413,1718,Call the police!,Call the police! Call the police! Call the police!,Call the police!,Call the police!,Call the police!
414,1719,It's too expensive!,It's too expensive!,It's too expensive. It's too expensive. It's too expensive. It's too expensive.,It's too expensive! It's too expensive!,It's too expensive!
418,1723,Merry Christmas!,Merry Christmas!,Merry Christmas!,Merry Christmas! Merry Christmas! Happy Christmas!,Merry Christmas!
439,1744,"The past can only be known, not changed. The future can only be changed, not known.","We can only know the past, not change the future, we can only change not know the past, we can only know the past, not change the future, we can only change the future, we can not know the past.","The past can only be known, not changed. The future can only be changed, not known.",The past is known but cannot be changed. The future is unknown but can be changed.,"The past can only be known, not changed. The future can only be changed, not known."
449,1754,I'm starving!,I'm starving! I'm starving! I'm starving.,I'm starving!,I'm hungry. I'm starving. I'm starving. I'm starving. I'm starving. I'm starving.,I'm starving!
460,1765,I'm undressing.,I'm taking my clothes off.,I'm undressing.,I'm taking off my clothes.,I'm getting undressed.
466,1771,The wind calmed down.,Wind's down.,The wind calmed down. The wind calmed down.,The wind calmed down. The wind calmed down. The wind calmed down.,The wind's calmed down.
471,1776,"Who searches, finds.","Whoever seeks, finds.",Those who seek find.,Whoever finds it will find it.,"If you're looking, you'll find it."
472,1777,Rome wasn't built in a day.,Rome wasn't built in a day.,Rome wasn't made in one day. Rome wasn't built in one day. Rome wasn't built in one day. Rome wasn't made in one day!,Rome wasn't built in one day. Rome wasn't built in one day. Rome wasn't built in one day.,Krakow wasn't built at first.
478,1783,That was the best day of my life.,It was the best day of my life.,It was the best day of my life. That was the best day of my life.,That was the best day of my life.,It was the best day of my life.
479,1784,I don't understand German.,I don't understand German. I don't speak German. I don't understand German.,I don't understand German. I don't understand German.,I don't understand German.,I don't understand German.
480,1785,I made my decision.,I've made up my mind.,I have made my decision. I have made my decision. I have made my decision. I have made my decision.,I've made up my mind.,I've made my decision.
481,1786,I give you my word.,I give you my word.,I give you my word. I give you my word. I give you my word.,I promise.,I give you my word.
507,1813,It's cold.,It's cold.,It's cold. It's cold. It's cold.,It's cold. It's cold.,It's cold.
508,1814,I'm thirsty.,I'm thirsty.,I'm thirsty. I'm thirsty. I'm thirsty. I'm thirsty. I'm thirsty. I'm thirsty.,I'm thirsty. I'm thirsty. I'm thirsty. I'm thirsty.,I'm thirsty.
522,1829,Life is beautiful.,Life is beautiful.,Life is beautiful!,Life is beautiful.,Life is beautiful.
554,1862,It is raining.,It's raining. lt's raining.,It's raining. It's raining.,It's raining.,It's raining. It's raining.
568,1876,I went to the zoo yesterday.,I went to the zoo yesterday.,"I went to the zoo yesterday. ""I went to the zoo yesterday. ""I went to the zoo yesterday. ""I went to the zoo yesterday.",I went to the zoo yesterday.,I went to the zoo yesterday.
713,2022,I dreamt about you.,I dreamed of you. I dreamed of you. I dreamed of you.,I dreamt of you. I dreamed of you.,I had a dream about you.,I dreamt about you.
715,2024,I won't lose!,I won't lose!,I won't lose!,I can't lose!,I'm not gonna lose!
731,2040,I'm almost done.,I'm almost done.,I'm almost done. I'm almost done.,It's almost over.,I'm almost done.
752,2061,It is never too late to learn.,It's never too late to learn. lt's never too late to learn.,"It's never too late to learn. ""You're never too old to learn. ""Nobody's too old to learn.",It's never too late to learn. It's never too late to learn.,It's never late to learn.
757,2066,What are you talking about?,What are you talking about?,- What are you talking about? - What are you talking about? - What are you talking about? - What are you talking about?,What are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about? what are you talking about?,What are you talking about?
767,2077,"Thank you. ""You're welcome.""","Thank you. ""You're welcome."" Thank you. ""You're welcome."" ""You're welcome.""","Thank you. ""Please."" ""Thank you. ""Thank you."" ""Thank you. ""You're welcome.""",Thank you very much.,"Thank you. ""Please."""
769,2079,Winter is my favorite season.,Winter is my favorite season.,Winter is my favorite season.,Winter is my favorite season.,Winter is my favorite time of year.
786,2096,He disappeared without a trace.,He disappeared without a trace.,He disappeared without a trace.,He disappeared without a trace.,He disappeared without a trace.
801,2111,She was wearing a black hat.,She was wearing a black hat.,He was wearing a black hat.,She was wearing a black hat.,She was wearing a black hat.
824,2136,Where is the bathroom?,Where's the bathroom? Where's the bathroom? Where's the bathroom?,Where's the toilet? Where's the bathroom? Where's the toilet?,Where is the bathroom?,Where's the bathroom?
856,2168,Where are you?,Where are you?,- Where are you? - Where are you? - Where are you? - Where are you? - Where are you? - Where are you?,Where are you? Where are you?,Where are you?
862,2175,No way!,No way!,That's impossible.,It can't be true! It can't be true! It can't be true!,No way!
902,2216,Don't forget about us!,Don't forget about us.,Don't forget about us. Don't forget about us. Don't forget about us. Don't forget about us. Don't forget about us. Don't forget about us. Don't forget about us. Don't forget about us.,Don't forget about us.,Don't forget us!
934,2249,I need your advice.,I need your advice.,I need your advice.,I need your advice.,I need your advice.
987,2302,Whose is this?,Whose is it?,Whose is this? Whose is this?,Whose is this?,Whose is this?
995,2310,Do you like rap?,Do you like rap music?,Do you like rap? • Do you like rap? • Do you like rap? • Do you like rap? • Do you like rap? • Do you like rap? • Do you like rap?,Do you like rap?,Do you like rap?
1003,2319,I don't know him.,I don't know him.,I don't know him. I don't know him.,I don't know him.,I don't know him.
1006,2322,It's not important.,It's not important.,It's not important. It doesn't matter.,It's not a big deal. It's no big deal.,It doesn't matter.
1007,2323,I don't care.,I don't care. I'm worth it. I'm beeping.,I don't care. I don't care. I don't care. I don't care.,It doesn't matter at all. It doesn't matter.,I don't care.
1012,2329,Fifty-two per cent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate to sex.,52 percent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate to sex.
1026,2344,Better late than never.,Better late than never. lt's better late than never. Better late than never.,Better late than never.,It's better to be late than not to be slow. It's better to be slow than not to be slow. It's better to be slow than not to be slow.,Better late than never.
1027,2345,"Like father, like son.","Like father, like son.","Like father, like son.","Fathers and fathers, sons and sons look like fathers.","Like father, like son."
1030,2350,All cats are grey in the dark.,All cats are gray in the dark.,At night all cats are grey.,Every cat in the night is gray.,"In the dark, all cats are gray. At night all cats are gray."
1032,2352,No news is good news.,The absence of news is good news.,"No new, good new.",I don't hear from you safely. It's good news if I don't hear from you.,No news is good news.
1048,2368,He's a good person.,He's a good man.,He's a good person. He's a good person. He's a good person. He's a good person.,He's a good person.,He's a good person.
1050,2370,Enjoy your meal!,Bon appetit!,Enjoy your meal!,Please join us. Please join us.,Enjoy!
1057,2378,Make yourself at home.,Make yourself at home. Make yourself at home.,Make yourself at home. Make yourself at home. Make yourself at home. Make yourself at home.,"Make yourself at home, make yourself at home. Please make yourself at home. Please make yourself at home.",Make yourself at home.
1068,2389,I don't want it anymore.,I don't want it anymore.,I don't want it anymore. I don't want it anymore. I don't want it anymore. I don't want it anymore.,I don't want it anymore.,I don't want it anymore.
1080,2401,I thought it was true.,I thought it was true. I thought it was true. I thought it was true.,I thought it was true. I thought it was true.,I thought it was true.,I thought it was true.
1088,2409,I went to drink a beer with friends.,I went out for a beer with some friends.,I had a beer with some friends.,I went for a beer with a friend.,I went for a beer with my friends.
1091,2412,They quarreled.,They had a fight.,They quarreled. They quarreled. They quarreled. They quarreled. They quarreled. They quarreled.,They argued.,They had a fight.
1092,2413,I ate caviar.,I had caviar.,I ate caviar. I ate caviar. I ate caviar. I ate caviar.,I ate caviar.,I ate caviar.
1097,2418,How much is it?,How much is it? How much is it? How much is it?,How much does it cost? • How much is it? • How much is it?,How much? What's that?,How much is it? How much does it cost?
1101,2423,Did you leave a tip?,Did you leave a tip?,Did you leave your tip?,Did you put the chip down?,Did you leave a tip?
1102,2424,Don't forget the ticket.,"Don't forget your ticket, don't forget your ticket.",Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket. Don't forget the ticket.,Don't forget your ticket. Don't forget your ticket.,Don't forget your ticket.
