,index,english,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
181,1468,Everyone wants to meet you. You're famous!,"Everyone wants to meet you, you're a celebrity!","Everyone wants to meet you. You're famous! All want to meet you! You're famous! All want to meet you, you're famous!",Everyone wants to meet you. You're famous!,"Everybody wants to meet you, you're famous!"
194,1481,"Tomorrow, he will land on the moon.",Tomorrow it's gonna moonlight. ♪ Tomorrow it's gonna land on the moon.,"Tomorrow, he'll be there.","Tomorrow, it will land on the moon.",He'll land on the moon tomorrow.
195,1482,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese. I don't speak Japanese. I don't speak Japanese.,I can't speak Japanese.,I don't speak Japanese.
197,1484,Nobody understands me.,No one understands me. ♪ No one understands me. ♪ No one understands me.,No one understands me.,No one understands me. No one understands me.,Nobody understands me.
198,1485,I learned to live without her.,I learned to live without her.,I learned to live without her.,I've learned to live without him.,I learned to live without her.
200,1487,I have too many things on my mind these days.,I've been having a lot of things in my head these days.,I've got too many things on my mind these days.,I've got a lot on my mind these days.,I've had too many things in my head lately.
201,1488,I just wanted to check my email.,I just wanted to check the mailbox. ♪ I just wanted to check my e-mail.,I just wanted to check my emails.,I just wanted to check my e-mail.,I just wanted to check my email.
209,1496,It would take me too much time to explain to you why it's not going to work.,It's gonna take me too long to explain why it's not gonna work. ♪ It's gonna take me too long to explain why it's not gonna work.,It would take me too long to explain why it's not going to work.,It would take me a lot of time to explain to you why this isn't going to work.,I'm going to spend too much time explaining why that doesn't work.
214,1501,It can't be!,It can't be! It can't be! It can't be!,No way!,"Oh, no!",It can't be!........ That can't be!
217,1504,Would you like something to drink?,Would you like something to drink?,Would you like a drink? Would you like a drink?,Can I get you something to drink?,Would you like something to drink?........
234,1521,Please don't cry.,Please don't cry. Please don't cry. Please don't cry. Please don't cry.,Please don't cry. Please don't cry. Please don't cry.,Please don't cry.,Please don't cry.
243,1530,Allen is a poet.,Allen is a poet. ♪ Allen is a poet. ♪ Allen is a poet.,Allen is a poet.  Allen is a poet.,Allen's a poet.,Allen is a poet.
248,1535,"If you see a mistake, then please correct it.","If you see a mistake, please correct it. If you see a mistake, please correct it.","If you see a mistake, then correct it, please.","Please correct if you see a mistake. If you see a mistake, then please correct it.","If you see a mistake, please correct it."
253,1540,Why don't we go home?,Why don't we go home?,Why don't we go home?,Why don't we go home?,Why don't we go home?
257,1544,One million people lost their lives in the war.,One million people lost their lives in this war.,A million people lost their lives in the war.,A million people died in the war.,One million people lost their lives in war.
270,1561,Did you miss me?,Did you miss me? ♪ Did you miss me? ♪ Did you miss me? ♪ Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?
272,1564,Thank you very much!,Thank you very much! Thank you very much! Thank you very much!,Thank you so much!,Thank you very much! Thank you very much! Thank you very much! Thank you very much! Thank you very much! Thank you very much!,Thank you very much! Thank you very much!
275,1567,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.
276,1568,That's a good idea!,That's a good idea!,This is a good idea!,That's a good idea!,That's a good idea!
285,1578,They say love is blind.,"They say love is blind. ♪ As they say, love is blind. ♪ They say love is blind.",Love is said to be blind. It is said that love is blind.,They say love is blind. They say love is blind.,It is said that love is blind.
296,1590,Do you speak Italian?,Do you speak Italian? ♪ Do you know Italian? ♪ Do you speak Italian?,Do you speak Italian? Do you speak Italian? Do you speak Italian?,Do you speak Italian?,Do you speak Italian?
299,1594,May I ask a question?,Can I ask you a question? Can I ask you a question? Can I ask you a question?,Can I ask a question?,Can I ask you a question?,Can I ask a question?
307,1602,You'll forget about me someday.,Someday you'll forget about me. Someday you'll forget about me. Someday you'll forget about me. Someday you'll forget about me. Someday you'll forget about me. Someday you'll forget about me. Someday you'll forget about me. Someday you'll forget about me. Someday you'll forget about me.,You'll forget me one day. You'll forget me one day. You'll forget me one day. You'll forget me one day.,One day you'll forget me. Someday you'll forget me. You'll forget me.,You'll ever forget me.
308,1603,That is rather unexpected.,It's rather unexpected. It's very unexpected. It's very unexpected.,That's rather unexpected.,This is highly unexpected.,That's rather unexpected.
311,1606,I couldn't have done it without you. Thank you.,I couldn't have done it without you. Thank you. ♪ I couldn't have done it without you. ♪ I couldn't have done it without you. ♪ I couldn't have done it without you. ♪ I couldn't have done it without you. ♪ Thank you. ♪ I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,"I couldn't have done it without you, thank you."
319,1615,Do whatever he tells you.,Do whatever he tells you to do. Do whatever he tells you.,Do as I say.,Do whatever he tells you.,Do whatever he tells you.
323,1619,May I talk to Ms. Brown?,Can I speak to Miss Brown?,May I speak to Mrs. Brown?,"May I speak to Mrs Brown, please?",May I speak to Mrs Brown?
326,1622,What do you want?,What do you want? What do you want? What do you want? What do you want? What do you want?,What do you want?  What do you want?  What do you want?  What do you want?  What do you want?,What do you want? What do you want? What do you want?,What do you want?.... What do you want?...
333,1630,I have a dream.,I have a dream. I'm dreaming.,I have a dream.,I have a dream.,I have a dream.
347,1644,You look stupid.,You look like an idiot. ♪ You look like an idiot. ♪ You look like an idiot. ♪ You look stupid. ♪ You look stupid. ♪ You look stupid. ♪ You look stupid. ♪ You look stupid. ♪ You look stupid. ♪,You look stupid. You look stupid.,You look stupid.,You look stupid.
349,1646,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.,My name is Jack.
350,1647,I like it very much.,I like it a lot.,I like it a lot.,I love him very much.,I really like it.
352,1649,How do you say that in Italian?,How do you say it in Italian?,How do you say that in Italian?,How do you say that in Italian?,How do you say that in Italian?
354,1651,Is it far from here?,Is it far from here?,Is it far from here?,Is he far from here?,Is it far from here?
355,1652,These things aren't mine!,These things aren't mine!,These things aren't mine!,These things aren't mine!,These things aren't mine!
357,1654,Would you like to dance with me?,Would you like to dance with me? Would you like to dance with me? Would you like to dance with me? Would you like to dance with me?,Dance with me?  Would you like to dance with me?  Would you like to dance with me?,Would you like to dance with me?,Would you like to dance with me?
359,1659,It's not my fault!,It's not my fault!,It's not my fault!,It's not my fault!,It's not my fault.
363,1663,Where are the showers?,Where's the shower?,Where are the showers?,Where are the showers?,Where's the shower?
366,1666,I have lost my wallet.,I lost my wallet. ♪ I lost my wallet. ♪ I lost my wallet.,I lost my wallet. I lost my wallet. I lost my wallet.,I lost my wallet. I lost my wallet.,I lost my wallet.
376,1679,Thanks to you I've lost my appetite.,I lost my appetite because of you. ♪ I lost my appetite because of you. ♪ I lost my appetite because of you.,"Thanks to you, I've lost my appetite.","Thanks to you, I lost my appetite.",You robbed me of my appetite.
386,1689,It is very hot today.,It's very hot today.,It's very hot today. It's very hot today.,It's very hot today.,It's very hot today.
394,1698,Look at me when I talk to you!,Look at me when I talk to you!,"Look at me when I talk to you! Look at me, I'm talking to you!",Look at me when I'm talking to you!,Look at me when I talk to you!
401,1705,I'm tired.,♪ I'm tired ♪ ♪ I'm tired ♪ ♪ I'm tired ♪ I'm tired ♪ I'm tired ♪,I'm tired. I'm tired. I'm tired! I'm tired. I'm tired. I'm tired. I'm tired.,I'm tired. I'm tired. I'm tired.,I'm tired.
404,1709,When do we arrive?,When are we coming?,In how long are we going to arrive?,When will we arrive?,When do we arrive?
405,1710,"The check, please.","Check, please.","The check, please. The check, please!","Check, please.","The bill, please."
407,1712,I have a headache.,My head hurts. My head hurts. My head hurts.,My head hurts. I have a headache.,I have a headache. I have a headache.,I have a headache.
411,1716,How are you? Did you have a good trip?,How did you do? How did you do? How did you do? How did you do? How did you do? How did you do? How did you do? How did you go? How did you go? How did you go? How did you go? How did you go?,Have you had a good trip?,Did you have a good trip?,How are you? Have you enjoyed your trip?
412,1717,I don't feel well.,I don't feel well. ♪ I don't feel well. ♪ I don't feel well. ♪ I feel well.,I don't feel well.,I don't feel well.,I'm not feeling well.
413,1718,Call the police!,Call the police! Call the police! Call the police! Call the police!,Call the police! Call the police! Call the police! Call the police! Call the police! Call the police! Call the police! Call the police! Call the police!,Call the police! Call the police!,Call the police!
414,1719,It's too expensive!,It's too expensive!,It's too expensive!,It's too expensive!,It's too expensive!
418,1723,Merry Christmas!,- Merry Christmas! - Merry Christmas! - Merry Christmas!,Merry Christmas!,Merry Christmas!,Merry Christmas!
439,1744,"The past can only be known, not changed. The future can only be changed, not known.","You can only know the past, but you can't change the future, you can only change the future, but you can't know it.","The past can only be known, not changed. The future can only be changed, not known. The past can only be known, not changed. The future can only be changed, not known. The past we can know but not change. The future we can change but not know.","The past is just known, it doesn't change, and the future just changes, it doesn't.","The past can only be famous, not changed, the future can only be changed, it is unknown."
449,1754,I'm starving!,I'm starving! ♪ I'm starving! ♪ I'm starving! ♪ I'm starving! ♪ I'm starving! ♪ I'm hungry! ♪,I'm starving!,I'm starving!,I'm starving.
460,1765,I'm undressing.,I'm taking my clothes off.,I'm getting naked. I'm taking off my clothes. I'm getting naked. I'm getting undressed.,I'm getting undressed.,I'm undressing.
466,1771,The wind calmed down.,The wind's quiet. ♪ The wind's calming down. ♪ The wind's a poem.,The wind calmed down.,The wind has calmed down.,The wind has died.
471,1776,"Who searches, finds.",Whoever looks will find him. ♪ The seeker finds him. ♪ The searcher finds him. ♪ The searcher will find him. ♪ The searcher will find him.,"Who seeks, finds.  The seeker finds.","Whoever seeks, finds.",He who searches will always find it.
472,1777,Rome wasn't built in a day.,Moscow wasn't built immediately. Rome was built in a day. Rome was built in a day. Rome was built in a day.,Zamora was not won in an hour.  Rome was not built in a day.  Rome was not built in a day.  Rome was not made in a day.,Rome was not built in one day.,Rome was not built in one day.
478,1783,That was the best day of my life.,It was the best day of my life.,That was the best day of my life. It was the best day of my life.,That was the best day of my life.,It was the best day of my life.
479,1784,I don't understand German.,I don't understand German. I don't understand German. I don't understand German.,I don't understand German.,I don't understand German. I don't understand German.,I don't understand German.
480,1785,I made my decision.,I've made a decision. I've made a decision.,I made a decision. I decided. I made my decision.,I've made up my mind.,I've made my decision.
481,1786,I give you my word.,I give you my word. I give you my word. I give you my word.,I give you my word.,I promise you.,I give you my word..... I give you my word..... I give you my word.
507,1813,It's cold.,It's cold.,It's cold. It's cold.,It's cold.,It's cold. &gt;&gt; Winter. &gt;&gt; It's cold. &gt;&gt; It's cold. &gt;&gt; It's cold. &gt;&gt; The winter. &gt;&gt; It's cold. &gt;&gt; It's cold. &gt;&gt; It's cold. &gt;&gt; It's cold. &gt;&gt; It's cold. &gt;&gt; It's cold. &gt;&gt;&gt;&gt; It's cold. &gt;&gt;&gt; It's cold. &gt;
508,1814,I'm thirsty.,I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty. ♪ I'm thirsty.,I'm thirsty.,I'm thirsty. I'm thirsty.,I'm thirsty.
522,1829,Life is beautiful.,Life is beautiful.,Life is beautiful. Life is beautiful.,Life is good.,Life is beautiful.
554,1862,It is raining.,It's raining. It's raining.,It's raining. It's raining.,It's raining. lt's raining.,It's raining.
568,1876,I went to the zoo yesterday.,Yesterday I went to the zoo. ♪ Yesterday I went to the zoo.,I went to the zoo yesterday.,I went to the zoo yesterday.,I went to the zoo yesterday.
713,2022,I dreamt about you.,I dreamt about you. I dreamed about you. I dreamed about you.,I dreamt about you. I dreamt about you.,I had a dream about you.,I dreamed of you.
715,2024,I won't lose!,♪ I won't lose ♪ ♪ I won't lose ♪,I won't lose!,I won't lose!,I won't lose!
731,2040,I'm almost done.,I'm almost done. I'm almost done.,I'm almost ready. I'm almost done.,I'm almost done.,I'm almost done.
752,2061,It is never too late to learn.,It's never too late to learn.,You are never too old to learn. It is never too late to learn. It is never too late to learn.,It is never too late to learn.,It's never too late to learn.
757,2066,What are you talking about?,What are you talking about? What are you talking about? What are you talking about?,What are you talking about?,What are you talking about?,What are you talking about?.... what are you talking about?
767,2077,"Thank you. ""You're welcome.""","""Thank you!"" ""Please!"" ♪ Thank you. ""Please.""","Thank you. ""You're welcome."" Thank you. ""You're welcome.""","Thank you. ""You're welcome."" ""Thank you."" ""You're welcome."" ""You're welcome.""",Thank you. Thank you. Thank you. Thank you. Thank you. Thank you very much.
769,2079,Winter is my favorite season.,Winter is my favorite time of year.,Winter is my favorite season.,Winter is my favorite season.,Winter is my favorite season.
786,2096,He disappeared without a trace.,He's gone without a trace. He's gone without a trace.,Disappeared without a trace. Disappeared without a trace. Disappeared without a trace.,He disappeared without a trace.,He disappeared without a trace.
801,2111,She was wearing a black hat.,She was wearing a black hat.,She wore a black hat. She wore a black hat. She wore a black hat.,He was wearing a black hat.,She was wearing a black hat.
824,2136,Where is the bathroom?,Where's the bathroom?,Where are the services?  Where is the bathroom?  Where is the bathroom?,Where is the toilet? Where is the toilet? Where is the bathroom?,Where is the bathroom?
856,2168,Where are you?,Where are you? Where are you? Where are you? Where are you? Where are you? Where are you?,Where are you?,Where are you? Where are you?,Where are you?
862,2175,No way!,No way! No way! No way! No way!,It can't be! It can't be! It can't be! It can't be! It can't be! It can't be! It can't be! It can't be! It can't be! It can't be! It can't be! It can't be!,No way!,You can't do that!...........!......
902,2216,Don't forget about us!,Don't forget about us.,Don't forget about us!,Don't forget us! Don't forget us.,Don't forget about us.
934,2249,I need your advice.,I need your advice. I need your advice.,I need your advice.,I need your advice.,I need your advice.
987,2302,Whose is this?,Whose is this? Whose is this? Who owns this?,Whose is this?,Whose is this?,Whose is this?
995,2310,Do you like rap?,Do you like rap? Do you like rap? Do you like rap?,Do you like rap?,Do you like rap?,Do you like rap?
1003,2319,I don't know him.,I don't know him. I don't know him. I don't know him.,I don't know him.,I don't know him.,I don't know him.
1006,2322,It's not important.,It doesn't matter.,It's not important. It doesn't matter.,It doesn't matter. It doesn't matter.,It doesn't matter.
1007,2323,I don't care.,I don't care. I don't care. I don't care.,I don't care. I don't care. I don't care.,I don't care. I don't care. I don't care!,I don't care.
1012,2329,Fifty-two per cent of British women prefer chocolate to sex.,Fifty-two per cent of British women prefer chocolate to sex.,Fifty-two percent of British women prefer chocolate instead of sex.,Fifty-two percent of British women prefer chocolate to sex.,Fifty - two percent of British women prefer chocolate to sex.
1026,2344,Better late than never.,Better late than never. ♪ Better later than never.,Better late than never.  It is never late if the bliss is good.,"Better late than never, better late than never.",Better late than never.
1027,2345,"Like father, like son.","As a father, so is a son. ♪ Apple is not far from the apple. ♪ As a father, so is a son.","Of such a stick, such a splinter.  Of such a stick such a splinter.","He looks just like his father. The apple falls to the tree, the son of his father.",What kind of father is such a son....... the apple tree does not fall far from the tree......
1030,2350,All cats are grey in the dark.,"At night, all the cats are gray. ♪ In the dark, all the cats are gray.",At night all cats are brown.,All cats are gray in the dark.,All cats are gray at night.
1032,2352,No news is good news.,The lack of news is good news. The lack of news is good news. The lack of news is good news.,"If there is no news, it is good news.  No news is good news.  No news, good news.",No news is good news. No news is good news. No news is good news.,No news is good news.
1048,2368,He's a good person.,He's a good man.,He's a good person. He's a good person.,He is a good person.,He is a good man.
1050,2370,Enjoy your meal!,Enjoy your meal!,Bon appetit! Bon appetit! Bon appetit! Bon appetit!,Bon appétit!,Enjoy your meal!
1057,2378,Make yourself at home.,Be at home. Be at home. Be at home!,You are at home. Do not be ashamed when entering my house. Feel at home. Feel at home. Feel at home. Feel at home. Feel at home.,"Make yourself at home, make yourself at home.",Make yourself at home.
1068,2389,I don't want it anymore.,I don't want it anymore. ♪ I don't want it anymore.,I don't want it anymore.,I don't want him anymore.,I don't want it anymore.
