,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
14,1295,You're in better shape than I am.,Your body is better than mine.,You're in better shape than I am.,You're in better shape than I am.,You're in better shape than I am.,You're better in shape than I am.,You're in better shape than I am.,You're more in shape than I am.,"You're in a better position than me, aren't you?",You're in better shape than I am.,You're in better shape than I am.,You're in better shape than me.,You're in better shape than I am.,You're in better shape than I am.
15,1296,You are in my way.,You're blocking my way.,You're in the way.,You're in my way.,You're on my way.,You're in my way.,You're in my way!,You're on my side.,You're interrupting me.,You're in my way.,You're in my way.,You're on my way.,You're in my way.,You're on my way.
16,1298,This will cost €30.,Thirty euros for this one.,"That will cost € 30,-.",This will cost you thirty euros.,It'll cost 30 bucks.,That will cost 30 €.,It'll cost 30 euros.,It'll cost 30 euros.,It'll be 30 euros.,It will cost €30.,It'll cost 30 euros.,That's going to cost 30 €.,This is going to cost £30.,This will cost 30 euros.
17,1299,I make €100 a day.,I make 100 euros a day.,I make $100 a day.,I make 100 euros a day.,I earn 100 euros a day.,I make 100 euros a day.,I make 100 euros a day.,I earn 100 euros a day.,I make 100 euros a day.,I make €100 a day.,I make a hundred euros a day.,I earn €100 a day.,I earn 100 euros a day.,I make 100 euros a day.
20,1302,That won't happen.,That's not gonna happen.,That's not gonna happen.,That's not gonna happen.,It's not gonna happen.,That's not gonna happen.,That's not gonna happen.,That's not gonna happen.,That won't happen.,That's not gonna happen.,That's not gonna happen.,That's not gonna happen.,It's not gonna happen.,It won't happen.
22,1304,I'll do my best not to disturb your studying.,I'll try not to disturb your study.,I'll try not to bother you when you learn.,I'll try my best not to interfere with your studies.,I'll do my best not to disrupt your reviews.,I'm going to try not to bother you while you're studying.,I'll try not to interrupt your studies.,I'll do my best not to disturb your firm.,I'll try not to interfere with your study.,I'll try not to interfere with your studies.,I'll try not to stop you from studying.,I'm going to try hard not to bother you in your studies.,I'll do my best not to interrupt your work.,I'll do my best not to interfere with your study.
25,1308,I miss you.,I miss you so much.,I miss you.,I miss you.,I miss you.,I miss you.,Miss you.,I miss you.,I miss you.,I miss you.,I miss you.,I miss you.,I missed you.,I miss you.
26,1309,I'll call them tomorrow when I come back.,I'll contact them when I get back tomorrow.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,I'll call her tomorrow when I get back.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,I'll call you tomorrow when I get home.,I'll call them tomorrow when I get back.,I'll call them tomorrow when I get home.,I'll call you when I get back tomorrow.,I'll call them when I get back tomorrow.,I'll call them tomorrow when I get back.
28,1311,You should sleep.,You should go to bed now.,You should be asleep.,You should get some sleep.,You should sleep.,You should sleep.,You need to sleep.,You should sleep.,You should go to sleep.,You should sleep.,You better get some sleep.,You should sleep.,You need to sleep.,You'd better sleep.
29,1312,I'm going to go.,I'm leaving.,I'm going.,I'm leaving.,I'm gonna go.,I'm leaving.,I'll go.,I'm on my way.,I'll go.,I'm gonna go.,I'm gonna go.,I'm going.,I'll go.,I'll go.
30,1313,I told them to send me another ticket.,I asked them to send me another ticket.,I told them to send me a new ticket.,I told them to send me another ticket.,I told them to send me another ticket.,I told them to send me a new ticket.,I told them to send me another card.,I told them to send me another ticket.,I asked them to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket.,I told them to send me another ticket.
33,1316,I once wanted to be an astrophysicist.,I used to want to be a space physicist.,I once wanted to be an astrophysicist.,Sometimes I wanted to be an astrophysicist.,There was a time when I wanted to be an astrophysicist.,I wanted to be an astrophysicist.,"At the time, I wanted to be an astrophysicist.",I wanted to be an astrophysicist once.,I wanted to be an astrophysicist for a time.,I used to want to be an astrophysicist.,I used to want to be an astrophysicist.,I wanted to be an astrophysicist once.,I wanted to be an astrophysicist once.,I used to want to be an astrophysicist.
34,1317,I never liked biology.,I've never liked biology.,I never liked biology.,I never liked biology.,I never liked biology.,I've never liked biology.,I never liked biology.,I never liked biology.,I don't like biology.,I never liked biology.,I never liked biology.,I never liked biology.,I never liked biology.,I never liked biology.
35,1318,The last person I told my idea to thought I was nuts.,The last person to listen to my idea thinks I'm crazy.,The last person I told my idea to thought I was crazy.,The last person I told my idea thought I was out of my mind.,The last person I told my idea to thought I was crazy.,The last person I told my idea thought I was crazy.,The last person I told my idea to thought I was a fuck-up.,The last person I told my idea to thought I was crazy.,The last person I shared my thoughts with seems to think I'm crazy.,The last person I told about my idea thought I was crazy.,The last person I told my idea to think I was crazy.,The last person I told my idea to thought I was crazy.,The last person I told my idea to thought I was crazy.,The last person I told my idea to decided I was crazy.
37,1320,It is unfortunately true.,It's too bad it's true.,"Unfortunately, it's true.","That's correct, I'm afraid.","Unfortunately, that is true.","Unfortunately, it's true.","Unfortunately, that's true.",That's unfortunately true.,I'm afraid it's true.,I'm afraid that's true.,"Unfortunately, that's true.",Unfortunately it's true.,"Unfortunately, that's true.","Unfortunately, it's true."
39,1322,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,Most people think I'm crazy.,A lot of people think I'm crazy.,Most people think I'm crazy.
42,1325,He's kicking me!,He's kicking me!,He kicks me!,He's kicking me!,He kicks me!,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!,He's kicking me!
43,1326,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Really?,Are you sure?,Are you sure?,Are you sure?,Are you sure?,Are you sure?
45,1328,"Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, here's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!","Ah, there's a butterfly!","Ah, there's a butterfly!","Look, a butterfly!"
46,1329,Hurry up.,Hurry up!,Hurry up!,Hurry up.,Hurry up!,Hurry up!,Hurry up!,Hurry!,Hurry!,Hurry up!,Hurry up!,Hurry up!,Hurry up!,Hurry up!
47,1330,It doesn't surprise me.,It doesn't surprise me.,I'm not surprised.,I'm not surprised.,I'm not surprised.,I'm not surprised.,Doesn't surprise me.,I'm not surprised.,It's not surprising.,That doesn't surprise me.,It's not surprising.,I'm not surprised.,That doesn't surprise me.,That's not surprising.
49,1333,It depends on the context.,Depends on the situation.,That depends on the context.,That depends on the context.,Depends on the context.,That depends on the connection.,Depends on the context.,It depends on the context.,That depends on the context.,Depends on the context.,That depends on the context.,That depends on the context.,That depends on the connection.,That depends on the context.
51,1335,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,That's the dumbest thing I've ever said.,It's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,I've never said anything stupid.,That's the stupidest thing I've ever said.,That's the dumbest thing I've ever said.,It's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,This is the biggest nonsense I've ever said.
53,1337,"When I grow up, I want to be a king.",I grew up wanting to be king.,"When I grow up, I want to be king.","When I grow up, I want to be king.","When I grow up, I want to be king.","When I grow up, I want to be a king.",I want to be king when I grow up.,"When I grow up, I want to be a king.","When I grow up, I want to be king.","When I grow up, I want to be king.","When I grow up, I want to be king.","When I grow up, I want to be a king.","When I grow up, I want to be a king.",I want to be a king when I grow up.
56,1340,So what?,So what?,So?,So what?,So what?,So what?,So what?,So?,So what?,So what?,So what?,Then what?,So what should we do?,So what?
61,1345,I've always wondered what it'd be like to have siblings.,I always wanted to have brothers and sisters.,I've always wondered what it would be like to have brothers and sisters.,I've always wondered what it would be like to have siblings.,I always wondered what it would be like to have brothers and sisters.,I've always wondered what it would be like to have brothers and sisters.,I always wondered what it felt like to have a brother or sister.,I've always wondered what it would be like to have brothers or sisters.,I always wonder what it would be like to have a brother.,I always wondered what it was like to have siblings.,I've always wondered what it would be like to have brothers and sisters.,I've always wondered what it's like to have brothers.,I've always wondered what it was like to have brothers.,I've always wondered what it was like to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,"Even if I say three days and three nights, I'm afraid I can't explain everything.",I need an eternity to explain everything.,It would take forever to explain everything.,It would take me forever to explain everything.,It would take forever to explain everything.,It'll take ages to explain everything.,It would take me a lifetime to explain everything.,"No matter how long it takes, I can't explain everything.",It takes forever to explain everything.,It would take me forever to explain everything.,It would take me forever to explain everything to you.,It'll take me forever to explain everything.,I'll need eternity to explain everything.
64,1348,That's because you're a girl.,That's because you're a girl.,That's because you're a girl.,This is because you're a girl.,That's because you're a girl.,That's because you're a girl.,That's because you're a girl.,It's because you're a girl.,Because you're a girl.,That's because you're a girl.,That's because you're a girl.,That's because you're a girl.,It's because you're a girl.,That's because you're a girl.
79,1363,I thought you liked to learn new things.,I thought you liked learning new things.,I thought you liked to learn new things.,I thought you liked learning new things.,I thought you liked learning new things.,I thought you'd like to learn new things.,I thought you liked learning new things.,I thought you liked learning new things.,I thought you wanted to study new things.,I thought you might want to learn something new.,I thought you liked learning new things.,I thought you liked to learn new things.,I thought you liked to learn new things.,I thought you liked learning new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their everyday lives.,Most people write about their daily lives.,Most people write about their daily lives.,Many people write about everyday things.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people take notes every day about life.
82,1366,"In order to do that, you have to take risks.","To do that, you need to take risks.","To do that, you have to take risks.",You have to take risks to do it.,"To do this, you have to take risks.","To do that, you have to take risks.","To do that, you have to take risks.","To do that, you have to take risks.","To do that, you have to take the risk.","In order to do this, you have to take risks.",You have to take a chance to do that.,"To do that, you have to risk it.","To do that, you have to take risks.",You've got to risk doing that.
84,1368,Why do you ask?,Why do you ask?,Why do you ask?,Why do you ask?,Why are you asking?,Why do you ask?,Why do you ask?,Why do you ask?,Why are you asking me that?,Why?,Why do you ask?,Why do you ask?,Why do you ask?,Why do you ask?
89,1373,How long did you stay?,How long have you been here?,How long did you stay?,How long were you there?,How long did you stay?,How long did you stay?,How long did you stay?,How long did you stay?,How long have you been here?,How long have you been standing there?,How long were you there?,How long were you?,How long did you stay?,How long have you been there?
95,1379,That is intriguing.,That's funny.,That's what makes me curious.,Interesting.,It's intriguing.,That's what makes you curious.,It's intriguing.,It's intriguing.,That's funny.,It's intriguing.,That's interesting.,That's intriguing.,That's interesting.,That's intriguing.
102,1386,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I didn't like it.,I don't like him.,I didn't like it.
111,1395,I have to go to bed.,It's time for me to go to bed.,I need to get some sleep.,I have to go to bed.,I have to go to bed.,I have to go to bed.,I gotta go to bed.,I have to go to bed.,I have to go to bed.,I have to go to sleep.,I have to go to bed.,I have to go to bed.,I need to sleep.,I have to go to bed.
118,1402,That wasn't my intention.,That's not what I meant.,I didn't mean to.,This wasn't my intention.,That wasn't my intention.,That wasn't my intention.,That wasn't my intention.,I didn't mean to.,I didn't mean to.,I didn't mean to.,It wasn't my intention.,I didn't mean to.,That wasn't my intention.,That wasn't my intention.
119,1403,Thanks for your explanation.,Thank you for the explanation.,Thanks for the explanation.,Thank you for your explanation.,Thank you for your explanation.,Thank you for your explanation.,Thanks for the explanation.,Thank you for your explanation.,Thank you for explaining.,Thank you for explaining.,Thanks for the explanation.,Thank you for your explanation.,Thank you for your explanation.,Thank you for explaining.
123,1408,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.
132,1417,I need to ask you a silly question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you an idiotic question.,I have to ask you a stupid question.,I need to ask you a stupid question.,I need to ask you a stupid question.,I have a stupid question.,I have to ask you a stupid question.,I need to ask you a stupid question.,I need to ask you a silly question.,I have to ask you a stupid question.,I need to ask you a stupid question.
136,1421,No one will know.,No one will know.,No one's gonna find out.,No one's gonna know.,No one will know.,No one's gonna know.,No one will know.,No one will know.,Nobody knows.,No one's gonna know.,No one will know.,No one will know.,No one will ever know.,No one will know.
138,1423,It seems interesting to me.,It's funny to me!,That sounds interesting!,It seems interesting to me.,That sounds interesting to me!,That seems interesting to me!,It looks interesting to me!,That sounds interesting!,Sounds fun!,Seems interesting to me!,I think it's interesting!,I think it's interesting!,That seems interesting to me.,That seems interesting to me.
140,1425,I like candlelight.,I love candlelight.,I like candlelight.,I like the light of the candle.,I like candlelight.,I like candlelight.,I love candlelight.,I like candlelight.,I like candles.,I like candlelight.,I love candlelight.,I like candlelight.,I like candlelight.,I like candlelight.
149,1434,I love you.,I love you.,I love you.,I love you.,I love you!,I love you.,I love you.,I love you.,I love you.,I love you.,I love you!,I love you.,I love you.,I love you.
151,1436,I am curious.,I'm curious.,I'm curious.,I'm curious.,I'm curious.,I'm curious.,I'm curious.,I'm curious.,I'm curious.,I'm very curious.,I'm curious.,I'm curious.,I'm curious.,I'm curious.
152,1437,Congratulations!,Congratulations.,Congratulations.,Congratulations!,Congratulations.,Happy birthday.,Greetings!,Congratulations!,Congratulations.,Congratulations!,Congratulations.,Congratulations!,Congratulations!,Congratulations!
153,1438,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait so long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.
154,1439,Why don't you come visit us?,Why don't you come see us?,Why don't you come visit us?,Why don't you come over?,Why don't you come see us?,Why don't you come visit us?,Why don't you come visit us?,Why don't you come visit us?,Why don't you come to my house?,Why don't you come visit us?,Why don't you come visit us?,Why don't you come visit us?,Why don't you come visit us?,Why are you visiting us?
159,1445,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I don't like chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I don't like chemistry.
165,1451,I have nothing better to do.,I don't have anything better to do.,I've got nothing better to do.,There's nothing better to do.,I have nothing better to do.,I have nothing better to do.,I don't have anything better to do.,I have nothing better to do.,There is no other way than to do it.,I have nothing better to do.,I don't have anything else to do.,I have nothing better to do.,I have nothing better to do.,I don't have anything else to do.
166,1452,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain either.,I can't explain it either.,I can't explain it either.,I can't even explain it.,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain that either.,I can't explain it either.
167,1453,Everyone has strengths and weaknesses.,Everyone has his strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has weaknesses and strengths.,Everyone has his strengths and weaknesses.,Everyone has their strengths and weaknesses.,They're all strong and weak points.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has their strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,Everyone has their strengths and weaknesses.,Everyone has strengths and weaknesses.
172,1459,I don't know if I still have it.,I don't know if I have any.,I don't know if I have it anymore.,I might still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have this.,I don't know if I still have it.,I don't know if I still have it.,I don't know if I still have it.
174,1461,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my powers.,Don't underestimate my power.,Don't underestimate my power!,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my powers.,Don't underestimate my power.,Don't underestimate my power.,Don't underestimate my power.
175,1462,My mom doesn't speak English very well.,My mother didn't speak very well in English.,My mother doesn't speak very good English.,My mother doesn't speak English very well.,My mom doesn't speak English very well.,My mother doesn't speak English very well.,My mother doesn't speak very good English.,My mom doesn't speak English very well.,My mother doesn't speak English very well.,My mom doesn't speak English very well.,My mom doesn't speak English well enough.,My mom doesn't speak English very well.,My mother doesn't speak English very well.,My mother doesn't speak English very well.
181,1468,Everyone wants to meet you. You're famous!,Everyone wants to see you. You're so famous!,"Everyone wants to meet you, you're a celebrity!","Everyone wants to meet you, you're famous.","Everybody wants to meet you, you're famous!","Everyone wants to meet you, you're famous!","The whole world wants to meet you, you're famous!",Everyone wants to meet you. You're famous.,Everyone wants to see you. You're famous!,Everyone wants to meet you.,"Everyone wants to meet you, you're a celebrity!",Everybody wants to meet you. You're famous!,Everyone wants to meet you. You're famous!,"Everybody wants to meet you, you're famous!"
194,1481,"Tomorrow, he will land on the moon.",Tomorrow he'll land on the moon.,Tomorrow it'll land on the moon.,Tomorrow he'll land on the moon.,"Tomorrow, he's going to anoint.",Tomorrow he'll land on the moon.,Tomorrow he'll land on the moon.,He'll land on the moon tomorrow.,He'll land on the moon tomorrow.,Tomorrow it will land on the moon.,He's gonna moonlight tomorrow.,"Tomorrow, he'll be there.","Tomorrow, it will land on the moon.",He'll land on the moon tomorrow.
195,1482,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I can't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,I can't speak Japanese.,I don't speak Japanese.
197,1484,Nobody understands me.,Nobody understands me.,No one understands me.,No one understands me.,Nobody understands me.,No one understands me.,No one understands me.,Nobody understands me.,Nobody understands me.,Nobody understands me.,No one understands me.,No one understands me.,No one understands me.,Nobody understands me.
198,1485,I learned to live without her.,I learned not to live on her.,I've learned to live without her.,I learned to live without him.,I learned to live without her.,I've learned to live without her.,I learned to live without her.,I learned to live without her.,I learned how to live without her.,I learned to live without her.,I learned to live without her.,I learned to live without her.,I've learned to live without him.,I learned to live without her.
200,1487,I have too many things on my mind these days.,I've had too much in my head these past few days.,I have too many things on my mind right now.,I have too many things on my mind these days.,I've got too much in my head these days.,Too many things are going through my mind these days.,I have too much on my mind right now.,I've got too much on my mind these days.,There's too much to think about these days.,I've got too many things on my mind lately.,I've been having a lot of things in my head these days.,I've got too many things on my mind these days.,I've got a lot on my mind these days.,I've had too many things on my mind lately.
201,1488,I just wanted to check my email.,I just want to check my e-mail.,I just wanted to check my e-mail.,I just wanted to read my e-mail.,I just wanted to check my emails.,I just wanted to get my e-mails.,I just wanted to check my e-mail.,I just wanted to check my e-mail.,I just wanted to check my email.,I just wanted to check my mail.,I just wanted to check the mailbox.,I just wanted to check my emails.,I just wanted to check my e-mail.,I just wanted to check my email.
209,1496,It would take me too much time to explain to you why it's not going to work.,I'll explain to you why it doesn't take a lot of time.,It would take me too long to explain to you why that won't work.,It would take me too much time to explain to you why it won't work.,It would take me too long to explain why it's not going to work.,It would take too long to explain to you why it won't work.,It'll take me too long to explain to you why it won't work.,It would take me too long to explain why it won't work.,It's going to take a long time to explain to you why it doesn't work.,It would take me too long to explain why this isn't gonna work.,It'll take me too long to explain why it won't work.,It would take me too long to explain why it's not going to work.,It would take me a lot of time to explain to you why this isn't going to work.,I'm going to spend too much time explaining why that doesn't work.
214,1501,It can't be!,That's impossible!,That can't be true!,It can't be!,It can't be!,That's not possible!,That's absolutely impossible!,That's not possible.,That's impossible!,It can't be!,No way!,No way!,"Oh, no!",Impossible!
217,1504,Would you like something to drink?,What do you want to drink?,Would you like a drink?,Would you like something to drink?,Would you like something to drink?,Do you want something to drink?,Would you like something to drink?,Would you like a drink?,Would you like something to drink?,Do you want something to drink?,Would you like something to drink?,Would you like a drink?,Can I get you something to drink?,Would you like something to drink?
234,1521,Please don't cry.,Please don't cry.,Please don't cry.,Don't cry.,Please don't cry.,Please don't cry.,Please don't cry.,Please don't cry.,Please don't cry.,"Don't cry, please.",Please don't cry.,Please don't cry.,Please don't cry.,Please don't cry.
243,1530,Allen is a poet.,Allen is a poet.,Allen's a poet.,Allen's a poet.,Allen is a poet.,Allen is a poet.,Alan's a poet.,Allen is a poet.,Allen is a poet.,Allen's a poet.,Allen is a poet.,Allen's a poet.,Allen's a poet.,Allen is a poet.
248,1535,"If you see a mistake, then please correct it.","If you find something wrong, please fix it.","If you see a mistake, please correct it.","If you see a mistake, you'll fix it.",If you see a mistake then please correct it.,"If you see a mistake, please correct it.","If you see a mistake, please correct it.","If you see a mistake, correct it then, please.",Correct me if I find a mistake.,"If you see a mistake, please correct it.","If you see a mistake, please correct it.","If you see a mistake, then correct it, please.","If you see a mistake, please correct it.","If you see a mistake, please correct it."
253,1540,Why don't we go home?,Why don't we go home?,Why don't we go home?,Why don't we go home?,Why don't we go back home?,Why don't we go home?,Why don't we go home?,Why don't we go home?,Shall we go home?,Why don't we go home?,Why don't we go home?,Why don't we go home?,Why don't we go home?,Why aren't we going home?
257,1544,One million people lost their lives in the war.,One million people lost their lives in the war.,A million people have lost their lives in the war.,A million people lost their lives in the war.,A million people lost their lives during the war.,A million people lost their lives in the war.,A million people lost their lives in the war.,A million people lost their lives during the war.,A million people lost their lives in that war.,A million people died in the war.,One million people lost their lives in this war.,A million people lost their lives in the war.,A million people died in the war.,One million people lost their lives in war.
270,1561,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?
272,1564,Thank you very much!,Thank you very much!,Thank you so much!,Thank you very much.,Thank you so much!,Thank you very much.,Thank you so much!,Thank you so much!,Thank you!,Thank you so much!,Thank you very much!,Thank you so much!,Thank you very much!,Thank you very much!
275,1567,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,I'm surprised.,This is a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.
276,1568,That's a good idea!,That's a great idea!,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!,This is a good idea!,That's a good idea!,That's a good idea!
285,1578,They say love is blind.,People say love is blind.,They say love is blind.,They say love is blind.,They say love is blind.,They say love makes you blind.,They say love is blind.,It is said that love is blind.,"I'm going to say, ""I'm sorry.""",They say love is blind.,They say love is blind.,Love is said to be blind.,They say love is blind.,It is said that love is blind.
296,1590,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?,Do you speak Italian?
299,1594,May I ask a question?,Can I ask you a question?,Can I ask you a question?,Can I ask you a question?,May I ask a question?,Could I ask a question?,Can I ask you a question?,Can I ask a question?,Can I ask you a question?,Can I ask you a question?,Can I ask you a question?,Can I ask a question?,Can I ask you a question?,May I ask a question?
307,1602,You'll forget about me someday.,One day you'll forget me.,One day you'll forget me.,You'll forget about me one day.,You'll ever forget me.,You'll forget me one day.,Someday you'll forget me.,You'll forget me one day.,"One day, I'll forget about me.",You'll forget about me someday.,One day you'll forget about me.,You'll forget me one day.,One day you'll forget me.,You'll ever forget me.
308,1603,That is rather unexpected.,It's a surprise.,That's kind of unexpected.,It's pretty unexpected.,It's kind of unexpected.,That's pretty unexpected.,It's quite unexpected.,It's pretty unexpected.,It's rather sudden.,It's quite unexpected.,Pretty sudden.,That's rather unexpected.,That's highly unexpected.,That's rather unexpected.
311,1606,I couldn't have done it without you. Thank you.,"I couldn't have done it without you, thank you.",I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you. Thank you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you. Thank you.
