,index,english,translated_from_chinese
19253,35096,Who wrote Hamlet?,Who wrote Hamlet?
19520,35385,Let's take a bus.,Let's take the bus.
19601,35471,Fill the bucket with water.,Fill the buckets with water.
19616,35489,Don't talk nonsense!,Don't talk nonsense!
19708,35586,Here are your keys.,Here's your key.
20167,36088,What?,What?
20174,36097,How cute!,It's so cute!
20359,36297,Everything is ready.,Everything's ready.
20396,36344,Why is he here?,Why is he here?
20451,36405,Why are you crying?,Why are you crying?
20459,36413,Why did you quit?,Why did you quit?
20465,36419,Why?,"Why, why, why, why?"
21008,37011,Tom goes to school on foot.,Tom walked to school.
21012,37015,Tom likes to knit.,Tom likes to knit.
21025,37029,Tom frowned.,Tom's frown.
21049,37053,Tom is interested in mountaineering.,Tom's interested in climbing.
21073,37077,Tom is a student.,Tom's a student.
21078,37083,Tom is interested in mathematics.,Tom is interested in math.
21093,37098,Tom drove the car.,Tom's driving the car.
21115,37121,Tom gave me a pen.,Tom gave me a pen.
21156,37162,Tom is absent.,Tom's not here.
21164,37170,Tom looks pale.,Tom looks pale.
21178,37185,Tom likes swimming.,Tom likes to swim.
21191,37199,Tom walks slowly.,Tom's walking very slowly.
21217,37226,Does Tom like tomatoes?,Does Tom like tomatoes?
21224,37234,Where was Tom born?,Where was Tom born?
21225,37236,Tom finally gave up smoking.,Tom finally quit smoking.
21233,37244,Tom likes cheese.,Tom likes cheese.
21355,37370,Tom and I are friends.,Tom and I are friends.
21376,37392,Aren't you Tom?,Aren't you Tom?
21420,37437,"How are you, Tom?","How are you, Tom?"
21493,37512,Where does it hurt?,Where does it hurt?
21787,37840,It was really cheap.,It's really cheap.
21838,37894,It doesn't matter.,It's okay.
21871,37928,Which book is yours?,"Which book is yours, which book is yours, which book is yours, which book is yours, which book is yours, which book is yours, which book is yours?"
21919,37981,You may choose whichever you want.,You can choose whatever you want.
22065,38153,Where do you work?,Where do you work?
22275,38387,I'm sorry.,"I'm sorry, I'm sorry."
22280,38392,I don't get it.,I don't understand.
22349,38464,Please drive carefully.,Please drive carefully.
22414,38559,Please make yourself comfortable.,You're welcome. Have a seat.
22420,38571,"Sit down, please.",Have a seat.
22633,38820,Please forgive me.,Please forgive me.
22726,38926,How are you doing?,How are you?
22731,38932,Where's the restroom?,Where's the toilet?
22751,38955,German is not an easy language.,German is not an easy language.
22919,39148,Turn off the TV.,Turn the TV off and turn the TV off.
22935,39164,I watch television.,I watch TV.
23362,39619,There is an orange on the table.,There's an orange on the table.
23726,40019,Let me see it.,Let me see.
23755,40051,Step aside.,Get out of the way.
24039,40350,No one can help me.,No one can help me.
24119,40434,Who cares?,Love who who?
24301,40632,Stop smoking.,Stop smoking.
24829,41207,Most Americans like hamburgers.,Most Americans like burgers.
25162,41556,I didn't mean it.,That's not what I meant.
25178,41572,Don't say that.,Don't say that.
25310,41719,Turn it off.,Turn it off.
25413,41825,"Give it to me, please.",Please give it to me.
25435,41848,Let me see that.,Let me see.
25615,42038,It's about the size of an egg.,It's size like an egg.
25800,42235,Whose idea was it?,Whose idea was this?
25903,42344,Is it yours?,Is this yours?
26116,42572,I put it in the drawer.,I put it in the drawer.
26373,42849,What is it?,What is it?
26708,43211,What does it mean?,What does that mean?
27366,43899,Give me the book.,Give me this book.
27393,43928,Where is the book?,Where's the book?
30161,46819,The car is ready.,The car's ready.
31360,48085,What does this word mean?,What does that word mean?
31515,48251,The dog is dying.,This dog is dying.
33122,49963,Open the bottle.,Open the bottle.
34300,51271,I'm not at all tired.,I'm not tired at all.
34363,51340,I have a cough.,I'm coughing.
34690,51692,"All horses are animals, but not all animals are horses.","All horses are animals, but not all animals are horses."
35005,52022,Terrific!,That's great!
35010,52027,Wow!,Whoa!
35060,52081,I'm coming.,I'm coming.
36366,53465,Study hard.,Learn well.
37073,54201,Here comes the bus.,The bus's coming.
37093,54223,Come along.,Come on.
37187,54331,Ladies first.,Ladies first.
37308,54468,I wish you good luck.,I wish you good luck.
37430,54604,"Hello, Tom.","Hello, Tom."
37679,54868,It's true.,It's true.
37886,55087,Whose books are these?,Whose books are these?
38220,55437,This is their house.,It's their home.
38293,55514,Whose room is this?,Whose room is this?
38298,55519,Whose umbrella is this?,Whose umbrella is this?
38300,55521,Whose pencil is this?,Whose pencil is this?
38312,55535,This is too big.,It's too big.
38503,55738,This is a dog.,It's a dog.
38513,55749,Is this your bicycle?,Is this your bike?
38528,55767,I don't like this.,I don't like it.
38732,55984,Is this your umbrella?,Is this your umbrella?
39336,56634,What do you call this vegetable in English?,What's the name of this vegetable in English?
39580,56910,This book is new.,This book is new.
40569,57974,I don't understand this word.,I don't understand that word.
41714,59199,Don't throw away this magazine.,Don't lose this magazine.
42988,60560,This program cannot be run in DOS mode.,This program cannot be executed in DOS mode.
43098,60676,Does this bus go to the beach?,Is this bus going to the beach?
43174,60758,The knife is not sharp.,It's not sharp.
43864,61484,This is my daughter.,This is my daughter.
43988,61614,This is a hospital.,This is the hospital.
44219,61875,Please wait here.,Please wait here.
44415,62110,Where is the nearest subway station?,Where's the nearest subway station?
44885,62608,Nobody was injured.,No one was hurt.
45368,63119,Today is Sunday.,Today is Sunday.
45458,63212,Do you believe in ghosts?,Do you believe in ghosts?
45461,63215,You make me happy.,You make me happy.
45464,63218,You look tired.,You look tired.
45531,63296,I caught three fish yesterday.,I caught three fish yesterday.
45558,63324,A fox is a wild animal.,The fox is a wild animal.
45836,63615,It's pretty cold.,It's cold.
45851,63631,Canada is larger than Japan.,Canada is bigger than Japan.
46147,63957,Is your mother at home?,Is your mother home?
46407,64241,Your dog is very big.,Your dog is very fat.
46423,64257,Take care of yourself.,Take care of yourself.
46488,64332,You are drunk!,You're drunk!
46621,64491,Behave yourself.,Behave yourself.
46626,64496,Watch yourself.,Watch yourself.
46634,64505,Sit wherever you like.,Sit wherever you like.
46736,64620,I want money.,I want money.
46799,64693,Welcome home.,Welcome home.
46985,64918,"Good morning, Mike.","Morning, Mike."
47531,65501,My family goes skiing every winter.,My family goes skiing every winter.
47918,65909,It's too late now.,It's too late now.
47926,65918,I am coming.,I'm coming.
48043,66043,When did you get back from London?,When did you get back from London?
48608,66664,Jesus wept.,Jesus cried.
48699,66762,Happy Easter!,Happy Easter.
48916,66989,What's that?,What's that?
49048,67124,Is that a bat?,Is that a bat?
49050,67126,That is mine.,That's mine.
49262,67345,Alice smiled.,Alice laughed.
50014,68134,Do you know if he has a girlfriend?,Do you know if he has a girlfriend?
50417,68547,The house is haunted.,This house is haunted.
50430,68563,Look at that smoke.,Look at that cigarette.
50752,68908,Are you free tomorrow?,Are you free tomorrow?
50779,68937,I admire you.,I admire you.
50789,68948,Are you busy?,Are you busy?
50795,68954,Are you studying?,Are you studying?
50871,69044,Do you know where he lives?,Do you know where he lives?
51020,69205,Do you get along with your boss?,Did you get along with the boss?
51214,69421,Have you ever seen a whale?,Have you ever seen a whale?
51225,69436,Do you like black cats?,Do you like black cats?
51284,69506,You have a good memory.,Your memory is good.
51296,69521,Are you a student?,Are you a student?
51362,69611,You have everything.,You all have.
51370,69619,Do you want anything to eat?,Do you want to eat anything?
51485,69763,You're still young.,You're still young.
52019,70408,Where is your room?,Where's your room?
52198,70623,What is your name?,What's your name?
52496,70960,How old is your father?,How old is your father?
52528,71000,How old is your grandfather?,How old is your grandfather?
52742,71256,Are you students?,Are you students?
53190,71751,I know him.,I know him.
53489,72055,He looks suspicious.,He looks suspicious.
53510,72076,Now I remember.,Now I remember.
54778,73398,Ten years is a long time.,Ten years is a long time.
54812,73434,It's ten o'clock sharp.,It's 10 o'clock.
55379,138919,Welcome.,"Welcome, welcome, welcome, welcome, welcome!"
55509,237639,You speak fluent English.,You speak English fluently.
55555,237692,I'll make you happy.,I'll make you happy.
55560,237698,I believe in you.,I believe you.
56637,238862,It's Monday.,It's Monday.
57023,239285,Can you find it?,Can you find it?
57151,239431,Good luck.,Good luck.
57294,239578,Where do you live now?,Where do you live now?
57582,239892,Is he breathing?,Is he breathing?
57834,240166,Look back!,Look back!
58614,241077,Let's go!,"Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go!"
58720,241200,I give up.,I give up.
59166,241675,I'm on a diet.,I'm on a diet.
60039,242641,That's enough for today.,That's it for today.
60111,242732,It is very cold today.,It's super cold today.
60183,242809,It's cold today.,It's cold today.
60207,242836,It is Monday today.,It's Monday.
60247,242881,It's hot today.,It's hot today.
60906,243599,Sugar dissolves in water.,Sugar is soluble in water.
61013,243711,The worst is over.,The worst is over.
61782,244539,Yesterday was my birthday.,Yesterday was my birthday.
62564,245411,Are you working?,Are you at work?
62605,245454,I'm looking for a job.,I'm looking for a job.
63020,245897,Children need loving.,Kids need love.
63402,246314,"Stop, or I'll shoot.","Stop, or I'll shoot."
64414,247442,Welcome to our home.,Welcome to our home.
64711,247763,We try.,Let's try it.
64879,247937,We played soccer yesterday.,We played football yesterday.
65001,248069,We painted the house green.,We paint the house green.
66839,250101,Please tell me your name.,Please tell me your name.
66866,250135,Follow me.,Please come with me.
67038,250327,Do you remember me?,Do you remember me?
67322,250648,My legs still hurt.,My leg still hurts.
67352,250680,He is my brother.,He's my brother.
67692,251060,Answer me.,Answer me.
68451,251884,Where's my book?,Where's my book?
68790,252254,I played soccer yesterday.,I played football yesterday.
68808,252272,I have a car.,I have a car.
68816,252280,I like castles.,I like castles.
68823,252287,I am a student.,I'm a student.
69426,252983,I don't drink much wine.,I don't drink much.
