,index,english,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german
14,1295,You're in better shape than I am.,You're in better shape than I am. You're in better shape than I am.,You're in better shape than I am.,"You're in better shape than I am, you're in better shape than I am.",You're better in shape than I am.
15,1296,You are in my way.,You're in my way.,You're in my way.,"You're on my way, you're on my way, you're on my way, you're on my way, you're on my way, you're on my way, you're on my way.",You're in my way.
16,1298,This will cost €30.,"That will cost € 30,-.",This will cost you thirty euros.,It'll cost 30 euros.,That will cost 30 €.
17,1299,I make €100 a day.,I make $100 a day.,I earn 100 euros a day.,I earn 100 euros a day.! I earn 100 euros a day.,I make 100 euros a day.
20,1302,That won't happen.,That's not gonna happen.,It's not gonna happen.,It's not going to happen.,That's not going to happen. That's not going to happen. That's not going to happen. That's not going to happen. That's not going to happen.
22,1304,I'll do my best not to disturb your studying.,"I'll try not to bother you when you're studying, and I'll do my best not to bother you when you're studying.",I'll try my best not to interfere with your studies.,I'll do my best not to disrupt your reviews.,I'm going to try not to bother you while you're studying.
25,1308,I miss you.,I miss you.,"I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you, I miss you.",I miss you.,I miss you. I miss you. I miss you. I miss you. I miss you.
26,1309,I'll call them tomorrow when I come back.,"I'll call them tomorrow, when I get back.",I'll call them tomorrow when I get back.,I'll call them tomorrow when I get back.,I'll call her tomorrow when I get back.
28,1311,You should sleep.,You should sleep. You should sleep better.,You should get some sleep.. You'd better get some sleep.,You should sleep.,You should sleep.
29,1312,I'm going to go.,I'm going.,I'm leaving. I'm going.,I'm gonna go.,I'm leaving.
30,1313,I told them to send me another ticket.,I told them to send me a new ticket.,I told them to send me another ticket.,"I told them to send me another ticket, and I told them to send me another ticket.",I told them to send me a new ticket. I told them to send me a new ticket.
33,1316,I once wanted to be an astrophysicist.,I once wanted to be an astrophysicist.,Sometimes I wanted to be an astrophysicist.,There was a time when I wanted to be an astrophysicist.,I wanted to be an astrophysicist.
34,1317,I never liked biology.,I never liked biology.,I never liked biology.,I never liked biology.,I've never liked biology.
35,1318,The last person I told my idea to thought I was nuts.,The last person I told my idea to thought I was crazy.,The last person I told my idea thought I was out of my mind.,The last person I told my idea to thought I was crazy.,The last person I told my idea thought I was crazy.
37,1320,It is unfortunately true.,"Unfortunately, it's true.","That is true, unfortunately.","Unfortunately, that is true.","Unfortunately, it's true.Unfortunately, it's true."
39,1322,Most people think I'm crazy.,Most people think I'm crazy.,"Most people think I'm crazy, but most people think I'm crazy, and most people think I'm crazy.","Most people think I'm crazy, most people think I'm crazy.",Most people think I'm crazy.
42,1325,He's kicking me!,He kicks me!,He's kicking me!,He kicks me!,He's kicking me!
43,1326,Are you sure?,Are you sure? Are you sure? Are you sure? Are you sure? Are you sure?,Are you sure?,Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?: Are you sure?,Are you sure? Are you sure? Are you sure?
45,1328,"Oh, there's a butterfly!","Oh, here's a butterfly!","Oh, there's a butterfly!","Oh, there's a butterfly!!!Oh, a butterfly!!!Oh, there's a butterfly!","Oh, there's a butterfly!"
46,1329,Hurry up.,"Hurry up, hurry up, hurry up, hurry up, hurry up!",Hurry up.,"Hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up!","Hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up, hurry up!"
47,1330,It doesn't surprise me.,I'm not surprised.,It doesn’t surprise me. 。 It doesn’t surprise me。 It doesn’t surprise me。 It doesn’t surprise me。 It doesn’t surprise me。 It doesn’t surprise me。 It doesn’t surprise me。 It doesn’t surprise me。 It doesn’t surprise me。,"It doesn't surprise me, it doesn't surprise me.",It doesn't surprise me. I'm not surprised.
49,1333,It depends on the context.,That depends on the context.,It depends on the context.,Depends on the context.,This depends on the context. --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- to---------------------------------------------------------------------------------------------------
51,1335,That's the stupidest thing I've ever said.,That's the dumbest thing I've ever said.,It's the stupidest thing I've ever said. It's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.,That's the stupidest thing I've ever said.
53,1337,"When I grow up, I want to be a king.","When I grow up, I want to be king.","When I grow up, I want to be king.","When I grow up, I want to be king.""When I grow up, I want to be king.","When I grow up, I want to be a king."
56,1340,So what?,"So, what's the big deal?",So what?,"So what?What?What, what?What, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what, what?",So what?
61,1345,I've always wondered what it'd be like to have siblings.,I've always wondered what it would be like to have brothers and sisters.,I've always wondered what it would be like to have siblings.,I always wondered what it would be like to have brothers and sisters.,I've always wondered what it would be like to have brothers and sisters.
63,1347,It would take forever for me to explain everything.,I need an eternity to explain everything. I would spend an eternity explaining everything.,It would take forever to explain everything.,It would take me forever to explain everything.,"It would take forever to explain everything. To explain everything, I would take forever."
64,1348,That's because you're a girl.,That's because you're a girl.,This is because you're a girl.,That's because you're a girl.,That's because you're a girl.
79,1363,I thought you liked to learn new things.,I thought you liked to learn new things.,I thought you liked learning new things.,"I thought you liked to learn new things, I thought you liked to learn new things.",I thought you'd like to learn new things.
80,1364,Most people write about their daily life.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their daily lives.,Most people write about their everyday lives.
82,1366,"In order to do that, you have to take risks.","To do that, you have to take risks.",You have to take risks to do it.,"To do this, you have to take risks.","To do this, you have to take risks. To do this, you have to take risks. To do this, you have to take risks. To do this, you have to take risks."
84,1368,Why do you ask?,Why do you ask? Why do you ask? Why do you ask?,Why do you ask?,Why are you asking?,Why do you ask?
89,1373,How long did you stay?,How long did you stay?,How long were you there?,How long did you stay there?How long did you stay?How long did you stay there?How long did you stay there?How long did you stay there?How long did you stay there?How long did you stay there?How long did you stay there?How long did you stay there?,How long have you stayed? How long have you stayed? How long have you stayed?
95,1379,That is intriguing.,That's what makes me curious.,"Interesting, that's interesting, that's interesting, that's interesting.",It's intriguing.,That's what makes you curious.
102,1386,I didn't like it.,I didn't like it.,I didn't like it. I didn't like it.,I didn't like it.,I didn't like it. I didn't like it.
111,1395,I have to go to bed.,I have to go to bed.,I have to go to bed.,I have to go to bed.,I have to go to bed. I have to go to bed. I have to go to sleep.
118,1402,That wasn't my intention.,I didn't mean to.,This was not my intention.,That wasn't my intention.,That wasn't my intention.
119,1403,Thanks for your explanation.,Thanks for the explanation.,Thank you for your explanation.,Thank you for your explanation.: Thank you for your explanation.: Thank you for your clarification.,Thank you for your explanation. Thank you for your explanation.
123,1408,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.,"I don't know what you mean, I don't know what you mean.",I don't know what you mean.
132,1417,I need to ask you a silly question.,I have to ask you a stupid question.,I have to ask you a stupid question.,I have to ask you an idiotic question.,I have to ask you a stupid question.
136,1421,No one will know.,No one's gonna find out.,No one will know.,"No one will know, no one will know.",No one's gonna know.
138,1423,It seems interesting to me.,That sounds interesting!,It seems interesting to me.,That sounds interesting to me!,That seems interesting to me!
140,1425,I like candlelight.,I like candlelight.,I like the light of the candle.,"I like the light of candles, I like the light of candles, I like the light of candles, I like the light of candles.",I like candlelight. I like candlelight.
149,1434,I love you.,"I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you.","I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you, I love you.","I love you, I love you, I love you, I love you, I love you, I love you!",I love you. I love you! I love you. I love you. I love you. I love you!
151,1436,I am curious.,I'm curious.,I'm curious.,I'm curious.,I'm curious.
152,1437,Congratulations!,Congratulations. Congratulations! Congratulations!........................................................................................................,Congratulations!,"Congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations, congratulations!",Congratulations. Congratulations! Congratulations!
153,1438,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long.,I don't want to wait that long. I don't want to wait that long. I don't want to wait that long.
154,1439,Why don't you come visit us?,Why don't you come visit us?,Why don't you come over?,Why don't you come and see us?!Why don't you come and visit us?!Why don't you come and visit us.Why don't you come and see us?,Why don't you come visit us?
159,1445,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry.,I hate chemistry. I don't like chemistry.
165,1451,I have nothing better to do.,I've got nothing better to do.,I have no better things to do.,I have nothing better to do.,I have nothing better to do.
166,1452,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain it either.,I can't explain it either. I can't explain it either.
167,1453,Everyone has strengths and weaknesses.,Everyone has strengths and weaknesses.,"Everyone has weaknesses and strengths, and everyone has their own strengths and weaknesses.",Everyone has his strengths and weaknesses.,Everyone has their strengths and weaknesses.
172,1459,I don't know if I still have it.,I don't know if I have it anymore.,I might still have it.,I don't know if I still have it.,I don't know if I still have it.
174,1461,Don't underestimate my power.,"Don't underestimate my power, don't underestimate my power.",Don't underestimate my powers.,"Don't underestimate my power, don't underestimate my strength.",Do not underestimate my power! Do not underestimate my power!
175,1462,My mom doesn't speak English very well.,My mother doesn't speak very good English.,My mother doesn't speak English very well.,"My mom doesn't speak English very well, and my mom doesn't speak English very well.",My mother doesn't speak English very well. My mother doesn't speak English so well.
181,1468,Everyone wants to meet you. You're famous!,"Everyone wants to meet you, you're a celebrity! Everyone wants to meet you, you're famous! Everybody wants to meet you, you're famous!",Everyone wants to meet you. You are famous.,"Everyone wants to meet you, you're famous!!!!Everyone wants to meet you, you're famous!",Everyone wants to get to know you. You're famous. You're famous. You're famous. You're famous. You're famous!
194,1481,"Tomorrow, he will land on the moon.","Tomorrow it will land on the moon, tomorrow it will land on the moon.",Tomorrow he'll land on the moon.,"Tomorrow, he's going to anoint.: Tomorrow, he's going to land on the moon.",Tomorrow he'll land on the moon.
195,1482,I don't speak Japanese.,I don't speak Japanese.,I don't speak Japanese.,"I don't speak Japanese, I don't speak Japanese.",I don't speak Japanese. I don't speak Japanese.
197,1484,Nobody understands me.,No one understands me.,No one understands me.,Nobody understands me.,No one understands me.
198,1485,I learned to live without her.,I've learned to live without her.,I learned to live without him.,"I've learned to live without her, and I've learned to live without her.",I've learned to live without her.
200,1487,I have too many things on my mind these days.,I have too many things on my mind right now.,I have too many things on my mind these days.,I've got too much in my head these days.,Too many things are going through my mind these days.
201,1488,I just wanted to check my email.,I just wanted to check my e-mail.,I just wanted to read my e-mail.,"I just wanted to check my e-mails, I just wanted to check my e-mails, I just wanted to check my e-mails.",I just wanted to get my e-mails.
209,1496,It would take me too much time to explain to you why it's not going to work.,It would take me too long to explain to you why that won't work.,It would take me too much time to explain to you why it won't work.,It would take me too long to explain why it's not going to work.,It would take too long to explain to you why it won't work.
214,1501,It can't be!,That can't be true!,It can't be!,It can't be!,It's not possible! It can't be!
217,1504,Would you like something to drink?,Can I get you something to drink? Can I get you something to drink? Can I get you something to drink?,Would you like something to drink?,Would you like something to drink?,Do you want something to drink? Do you want something to drink? Do you want something to drink?
234,1521,Please don't cry.,Please don't cry.,Don't cry.,Please don't cry.,Please don't cry. Please don't cry!
243,1530,Allen is a poet.,Allen's a poet.,Allen's a poet.,Allen is a poet.,Allen is a poet. Allen is a poet.
248,1535,"If you see a mistake, then please correct it.","If you see an error, please correct it.. If you see an error, please correct it.","If you see a mistake, please correct it.. If you notice any errors, please correct them.","If you see a mistake then please correct it.: If you see a mistake, then please correct it.","If you see a mistake, please correct it. If you see an error, please correct it. If you see an error, please correct it. If you see an error, please correct it."
253,1540,Why don't we go home?,Why don't we go home?,Why don't we go home?,Why don't we go back home?,Why don't we go home?
257,1544,One million people lost their lives in the war.,A million people have lost their lives in the war.,A million people lost their lives in the war.,"One million people lost their lives during the war, and one million lost their lives during the war.",A million people lost their lives in the war.
270,1561,Did you miss me?,Did you miss me?,Did you miss me?,Did you miss me?: Did you miss me?: Did you miss me?,Did you miss me? Did you miss me? Did you miss me? Did you miss me? Did you miss me? Did you miss me? Did you miss me? Did you miss me?
272,1564,Thank you very much!,Thank you very much! Thank you very much! Thank you very much!,Thank you very much!. Thank you so much!,Thank you very much!!!!Thank you very much.!Thank you so much!,Thank you very much! Thank you very much! Thank you very much. Thank you very much! Thank you very much!
275,1567,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise.,It's a surprise. It's a surprise.
276,1568,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!,That's a good idea!
285,1578,They say love is blind.,They say love is blind.,They say love is blind.,"Love is said to be blind, as they say, love is blind.",They say love makes you blind.
296,1590,Do you speak Italian?,Do you speak Italian? Do you speak Italian?,Do you speak Italian?,Do you speak Italian?: Do you speak Italian?: Do you speak Italian?:,Do you speak Italian??? Do you speak Italian??? Do you speak Italian??? Do you speak Italian??
299,1594,May I ask a question?,Can I ask you a question?,Can I ask you a question?,May I ask a question?,Could I ask a question? - May I ask a question? - May I ask a question?
307,1602,You'll forget about me someday.,One day you'll forget me.,You'll forget about me one day.,"You'll forget me one day, you'll forget me one day.",You'll forget me one day.
308,1603,That is rather unexpected.,That's kind of unexpected.,It's pretty unexpected.,It's kind of unexpected.,That's pretty unexpected.
311,1606,I couldn't have done it without you. Thank you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you.,I couldn't have done it without you. Thank you. I couldn't have done it without you. Thank you. I couldn't have done it without you. Thank you. I couldn't have done it without you. Thank you.
319,1615,Do whatever he tells you.,Do what he tells you to do.,Do whatever he tells you to do.,Do whatever he tells you.,Do whatever he commands you to do.
323,1619,May I talk to Ms. Brown?,Can I talk to Mrs Brown?,"Can I have Brown on the phone, please?",May I speak to Miss Brown?,Could I speak to Miss Brown?
326,1622,What do you want?,What do you want? What do you want?,What do you want?,What do you want?!What do you need?!What do you want?!What do you want?!What do you want?!What do you want?!What do you want?,What do you want? What do you want? What do you want? What do you want?
333,1630,I have a dream.,I have a dream.,I have a dream.,I have a dream.,I have a dream.
347,1644,You look stupid.,You look stupid.,You look stupid.,"You look stupid, you look stupid, you look stupid, you look stupid, you look stupid, you look stupid, you look stupid.",You look stupid.
349,1646,My name is Jack.,My name is Jack.,"My name is Jack, and my name is Jack, and my name is Jack, and my name is Jaakko, and my name is Jaakko.","My name is Jack, my name is Jacques.",My name is Jack. My name is Jack.
350,1647,I like it very much.,I like that very much.,I like it very much. I like it very much.,"I like it a lot, I like it a lot, I like it a lot, I like it a lot, I like it a lot.",I like it very much. I really like it very much.
352,1649,How do you say that in Italian?,How do you say it in Italian? How do you say it in Italian? How do you say it in Italian?,How do you say that in Italian?,How do we say that in Italian?,What's it called in Italian? What do you say in Italian?
354,1651,Is it far from here?,Is it far from here?,Is it far from here?,How far is it from here?,Is it far from here?
355,1652,These things aren't mine!,These things aren't mine!,These things aren't mine!,It's none of my business!,That's not my stuff!
357,1654,Would you like to dance with me?,Would you like to dance with me?,Would you like to dance with me?,Would you like to dance with me?,Do you want to dance with me?
359,1659,It's not my fault!,It's not my fault!,It's not my fault!,It's not my fault. It's not my fault.,It's not my fault!
363,1663,Where are the showers?,Where are the showers?,Where are the showers?,Where are the showers?,Where are the showers?
366,1666,I have lost my wallet.,"I lost my wallet, I lost my wallet.","I've lost my wallet, I've lost my wallet, and I've lost my wallet.",I lost my wallet.,I lost my wallet. I lost my wallet. I lost my wallet. I lost my wallet.
376,1679,Thanks to you I've lost my appetite.,"It's your fault I lost my appetite, and I lost my appetite because of you.","I lost my appetite, thanks to you.","Thanks to you, I lost my appetite.","Thanks to you, I lost my appetite."
386,1689,It is very hot today.,It's very hot today.,It's really hot today.,"Today, it's very hot, it's very hot today, it's really hot today.",Today it's very hot. It's very hot today.
394,1698,Look at me when I talk to you!,Look at me when I'm talking to you!,Look at me when I'm talking to you.,"Look at me when I'm talking to you!""Look at me when I'm talking to you!",Look at me when I'm talking to you!
401,1705,I'm tired.,I'm tired.,I'm tired. I'm tired!... I'm tired!,"I'm tired, I'm tired, I'm tired.",I'm tired! I'm tired.
404,1709,When do we arrive?,When will we be there?,When will we be there?,How soon do we get here?,When do we arrive?
405,1710,"The check, please.","The bill, please.","Check, please.","Please check the note.The note, please.The check, please.The check, please.The note, please.","The invoice, please. Please pay! Please pay! Please pay!"
407,1712,I have a headache.,I have a headache.,"I have a headache, I have a headache, I have a headache, I have a headache, I have a headache, I have a headache, I have a headache, I have a headache, my head is sore.",I'm having a headache.I'm having a headache.I'm having a headache.I'm having a headache.I'm having a headache.,I have headaches. I have headaches. My head hurts.
411,1716,How are you? Did you have a good trip?,How are you? Have you had a good trip? How are you? Have you had a good trip?,How are you?,How are you? Did you make a good trip? How are you? Did you make a good trip? How are you? Did you make a good trip?,How are you? Did you have a good trip?
412,1717,I don't feel well.,I'm not feeling well.,I don't feel good.,I'm not feeling well.,I don't feel well. I'm uncomfortable. I don't feel well.
413,1718,Call the police!,Call the police!,"Call the police, call the police, call the police, call the police, call the police, call the police, call the police!",- Call the police! - Call the police! - Call the police!,Call the police!
414,1719,It's too expensive!,That's too expensive!,It's too expensive!,It's too expensive!,It's too expensive!
418,1723,Merry Christmas!,Merry Christmas!,Merry Christmas!. Merry Christmas!,"Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas, Merry Christmas!",Merry Christmas!
439,1744,"The past can only be known, not changed. The future can only be changed, not known.","The past can only be known, not changed. The future can only be changed, not known. The past can be known, but not changed. The future can be changed, but not known.","You just know the past, you don't change it, you just change the future, you don't know.","One can only know the past, not change it. One can only change the future, not know it.! The past can only be known, not changed. The future can only be changed, not known.","One can only know the past, not change it. One can only change the future, not know it."
449,1754,I'm starving!,I'm starving!,"I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving, I'm starving!","I'm starving, I'm starving.",I'm dying of hunger! I'm starving. I've got cabbage steam! I'm starving!
460,1765,I'm undressing.,I'm undressing.,I'm getting undressed.,"I'm undressing, I'm undressing, I'm undressing.",I'm undressing.
466,1771,The wind calmed down.,The wind went down.,The wind subsided.. The wind calmed down.,"The wind calmed down, and the wind calmed down.",The wind has calmed down. The wind has slowed down. The wind has calmed down.
471,1776,"Who searches, finds.","Those who seek, will find. Those who seek, will find. Those who seek, will find. Those who seek, will find.",The detective will.,"Who is looking, find.","Whosoever seeketh, he that findeth....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................."
472,1777,Rome wasn't built in a day.,Rome wasn't built in one day.,Not even Rome was built in a day.,Rome was not made in a day.,Rome was not built in a day. Rome was not built in a day. Rome was not built in a day. Rome was not built in a day. Rome was not built in a day. Rome was not built in a day.
478,1783,That was the best day of my life.,That was the best day of my life.,It was the best day of my life.,It was the best day of my life.,That was the most beautiful day of my life.
479,1784,I don't understand German.,I don't understand German.,I don't understand German.,I don't understand German.,I don't understand German.
480,1785,I made my decision.,I've made my decision.,I made my decision.,I've made up my mind.,I've made my decision. I've made my decision.
481,1786,I give you my word.,"I give you my word, I give you my word, I promise.",I give you my word.,I give you my word.,I give you my word.
507,1813,It's cold.,It's cold.,It's cold.,"It's cold, it's cold.",It's cold.
508,1814,I'm thirsty.,I'm thirsty.,"I'm thirsty, I'm thirsty, I'm thirsty, I'm thirsty, I'm thirsty, I'm thirsty.",I'm thirsty.,I'm thirsty. I'm thirsty.
522,1829,Life is beautiful.,Life is beautiful. Life is beautiful!,Life is beautiful.,Life is beautiful.,Life is beautiful.
554,1862,It is raining.,It's raining.,It's raining. It's raining.,It's raining.,It's raining.
568,1876,I went to the zoo yesterday.,"I went to the zoo yesterday, and I went to the zoo yesterday.",I went to the zoo last night.,I went to the zoo yesterday.,Yesterday I went to the zoo.
713,2022,I dreamt about you.,I dreamed of you.,I had a dream about you.,I dreamt of you.,I was dreaming about you.
715,2024,I won't lose!,I won't lose!,"I won't lose, by the way!",I won't lose!,I'm not going to lose!
731,2040,I'm almost done.,I'm almost done.,I'm almost done.,I'm almost done.,I'm almost done.
752,2061,It is never too late to learn.,It's never too late to learn.,It's never too late to learn.,"It's never too late to learn, but nobody's too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn, never too old to learn.",It's never too late to learn. You're never too old to learn. You're never too old to learn. It's never too late to learn.
757,2066,What are you talking about?,What are you talking about? What are you talking about? What are you talking about?,What are you talking about?,"What are you talking about, what are you talking about?, what are you talking about?, what are you talking about?, what are you talking about?, what are you talking about?, what do you mean?",What are you talking about? What are you talking about? What are you talking about? What are you talking about?
767,2077,"Thank you. ""You're welcome.""","Thank you. ""You're welcome."" ""Thank you."" ""Thank you."" ""You're welcome.""",“Thank you.” “Thank you.” “Thank you.” “No problem.” “Thank you.” “No problem.” “Thank you.” “Thank you.”,"""Thank you."" ""Nothing.""""Thank you."" ""With pleasure.""""Thank you."" ""It's me.""","""Thank you!"" – ""No reason!"" ""Thank you!"" – ""Please!"" – ""Thank you!"" – ""No thanks!"" – ""No thanks!"""
769,2079,Winter is my favorite season.,"Winter's my favorite season, winter's my favorite season.",Winter is my favorite season.. Winter is my favorite season.,Winter is my favorite season.,Winter is my favorite season.
786,2096,He disappeared without a trace.,He has left with the northern sun. He disappeared without leaving a trace. He has disappeared without a trace. He has disappeared without a trace.,He disappeared without a trace.,He disappeared without a trace.,He disappeared without a trace.
801,2111,She was wearing a black hat.,She was wearing a black hat.,He had a black hat on his head.,She was wearing a black hat.,She was wearing a black hat.
824,2136,Where is the bathroom?,Where's the bathroom? Where's the bathroom?,Where's the bathroom?,Where are the toilets?: where is the bathroom?: where is the bathroom?,Where is the toilet? Where is the bathroom? Where is the toilet?
856,2168,Where are you?,Where are you?,Where are you?,Where are you?,Where are you? Where are you? Where are you?
862,2175,No way!,"No, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't, you can't!","Oh, come on!. Absolutely not!",Impossible!!!!In no case!!It's out of the question!!!It's out of the question!!!It's out of the question!!!It's out of the question!!!!No way!!!!No way!!!!My eye!!!No joke!!,Impossible! It's not possible! It's impossible! It's impossible! It's impossible! It's impossible! It's impossible!
902,2216,Don't forget about us!,Don't forget us!,Don't forget us!,Don't forget us!,Don't forget us!
934,2249,I need your advice.,I need your advice. I need your advice. I need your advice.,"I need your advice, and I need your advice, and I need your advice.",I need your advice.,I need your advice. I need your advice. I need your advice.
987,2302,Whose is this?,Whose is this?,Whose is this?,Whose is it?,Whose is this?
995,2310,Do you like rap?,Do you like rap?,Do you like rap?,Do you like rap?,Do you like rap?
1003,2319,I don't know him.,I don't know him.,I don't know him.,I don't know him.,I don't know him.
1006,2322,It's not important.,It's not important.,It's not important.,"It's not important, it doesn't matter.",It doesn't matter.
1007,2323,I don't care.,I don't care. I don't care. I don't care. I don't care. I don't care.,I don't care.,I don't care.I don't care.I don't care.I don't care.I don't care.I don't care.I don't care.,I don't care. I don't care. I don't care.
